Identification ^nn++++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
large ^jj+atrb+++=large
basidiomata ^nn+++??+=basidiomata
( ^zz++++=(up
up ^rp++++=EXTRAWORD
to ^to++++=to
8 ^zz++++=8
cm ^nnu++++=cm
in ^in++++=in
diameter ^nn++++=diameter),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
involute ^nn+++??+=involute
lacinias ^nns+++??+=lacinias,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-hygroscopic,
- ^zz++++=EXTRAWORD
hygroscopic ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
prominent ^jj+atrb+++=prominent
conspicuous ^jj+atrb+++=conspicuous
collar ^nn++++=collar
around ^in++++=around
the ^ati++++=the
endoperidium ^nn+++??+=endoperidium
from ^in++++=from
the ^ati++++=the
pseudoparenchymal ^nn+++??+=pseudoparenchymal
layer ^nn++++=layer
of ^in++++=of
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
sessile ^nn+++??+=sessile
endoperidium ^nn+++??+=endoperidium,
, ^zz++++=EXTRAWORD
delimited ^nn+++??+=delimited
or ^cc++++=or
unbounded ^jj+atrb+++=unbounded
fibrous ^jj+atrb+++=fibrous
peristoma ^nn+++??+=peristoma.
. ^zz++++=EXTRAWORD
( ^zz++++=(Campi
campi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
phylogenetic ^jj+atrb+++=phylogenetic
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
morphological ^jj+atrb+++=morphological
concept ^nn++++=concept
of ^in++++=of
the ^ati++++=the
species ^nn++++=species
actually ^rb+amp+++=actually
represents ^vbz++++=represents
an ^at++++=an
assemblage ^nn++++=assemblage
of ^in++++=of
closely ^rb++++=closely
related ^xvbn+++xvbn+=related
species ^nns++++=species
which ^whp+rel+subj++=which
vary ^vb++++=vary
in ^in++++=in
the ^ati++++=the
distribution ^nn++++=distribution
patterns ^nns++++=patterns
( ^zz++++=(Kasuya
kasuya ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
