Remarks ^vbz+vpub+++=Remarks.
. ^zz++++=EXTRAWORD
Bagrobdella ^np+++??+=Bagrobdella
vansteenbergei ^nn+++??+=vansteenbergei
differs ^vbz++++=differs
from ^in++++=from
all ^abn++++=all
other ^ap++++=other
species ^nn++++=species
already ^rb++++=already
described ^vpsv++by+xvbn+=described
by ^in++++=by
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
its ^pp$+it+++=its
hooks ^nns++++=hooks
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
all ^abn++++=all
of ^in++++=of
almost ^rb+hdg+++=almost
the ^ati++++=the
same ^ap++++=same
length ^nn++++=length
( ^zz++++=(pair
pair ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
being ^vbg+beg++xvbg+=being
only ^rb+down+++=only
slightly ^rb+down+++=slightly
longer ^rbr++++=longer
than ^in++++=than
the ^ati++++=the
others ^aps++++=others),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
of ^in++++=of
different ^jj+atrb+++=different
size ^nn++++=size
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
species ^nn++++=species
( ^zz++++=(including
including ^in++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vanhovei ^nn+++??+=vanhovei
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
nov ^nr++++=nov.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
10 ^cd++++=10).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
More ^rbr++++=More,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trapezoidal ^nn+++??+=trapezoidal
piece ^nn++++=piece
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
17 ^cd++++=17
individuals ^nns++++=individuals
( ^zz++++=(15
15 ^cd++++=EXTRAWORD
Hoyer ^np+++??+=Hoyer
s ^zz++++=s
mounted ^vbd+++xvbn+=mounted
and ^cc++++=and
2 ^zz++++=2
preserved ^jj+++xvbn+=preserved
in ^in++++=in
ethanol ^nn+++??+=ethanol),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
absent ^jj+pred+++=absent
in ^in++++=in
this ^dt+dem+++=this
species ^nn++++=species,
, ^zz++++=EXTRAWORD
even ^rb++++=even
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
usually ^rb+down+++=usually
slightly ^rb+down+++=slightly
sclerotised ^jj+++??+=sclerotised
and ^cc+phrs+++=and
hard ^jj++++=hard
to ^to+jcmp+++=to
observe ^vbi+vprv+++=observe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ventral ^jj+atrb+++=ventral
anchors ^nns+++??+=anchors
are ^vb+ber+vrb++=are
slightly ^rb+down+++=slightly
holed ^nn+++??+=holed.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
male ^nn++++=male
copulating ^vwbg+++xvbg+=copulating
organ ^nn++++=organ
has ^vbz+hvz+vrb++=has
a ^at++++=a
unique ^jj+atrb+++=unique
shape ^nn++++=shape
within ^in++++=within
Bagrobdella ^np+++??+=Bagrobdella
spp ^nn+++??+=spp.
. ^zz++++=EXTRAWORD
( ^zz++++=(subterminal
subterminal ^nn+++??+=EXTRAWORD
opening ^vwbg+++xvbg+=opening
and ^cc++++=and
no ^at++++=no
membrane ^nn++++=membrane
surrounding ^jj++++=surrounding)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
11 ^cd++++=11).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
