Combining ^vbg+++xvbg+=Combining
these ^dt+dem+++=these
discourses ^nns++++=discourses,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
asserts ^vbz+vpub+++=asserts
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
alternative ^nn++++=alternative
to ^in++++=to
a ^at++++=a
paradigm ^nn++++=paradigm
shift ^nn++++=shift
in ^in++++=in
military ^jj++++=military
spending ^jj+++xvbg+=spending
to ^to++++=to
become ^vbi++++=become
a ^at++++=a
military ^jj+atrb+++=military
power ^nn++++=power
adequate ^jj++++=adequate
to ^in++++=to
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
importance ^nn++++=importance
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
his ^pp$+pp3+++=his
plans ^nns++++=plans
translates ^nns+++??+=translates
into ^in++++=into
a ^at++++=a
budget ^nn++++=budget
that ^tht+rel+subj++=that
puts ^vbz++++=puts
Germany ^np++++=Germany
into ^in++++=into
third ^nn++++=third
place ^nn++++=place
in ^in++++=in
global ^jj+atrb+++=global
defense ^nn+++??+=defense
spending ^vwbg+++xvbg+=spending,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
Us ^pp1o+pp1+++=US
and ^cc++++=and
China ^np++++=China.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Germany ^np++++=Germany
as ^in++++=as
military ^jj+atrb+++=military
power ^nn++++=power
discourse ^nn++++=discourse
is ^vbz+bez+vrb++=is
also ^rb++++=also
centripetal ^jj+pred++??+=centripetal,
, ^zz++++=EXTRAWORD
through ^in++++=through
naturalisation ^nn++++=naturalisation
( ^zz++++=(BAXTER,
baxter ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
p.171 ^nn+++??+=p.171;
; ^zz++++=EXTRAWORD
Deetz ^np+++??+=DEETZ,
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
response ^nn++++=response
to ^in++++=to
arms ^nns++++=arms
delivery ^nn++++=delivery,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear
that ^tht+jcmp+++=that
we ^pp1a+pp1+++=we
must ^md+nec+++=must
spend ^vb++++=spend
more ^rbr++++=more
on ^in++++=on
defense ^nn+++??+=defense
and ^cc++++=and
Nato ^np++++=NATO
must ^md+nec+++=must
be ^vb+be+vrb++=be
strong ^jj+pred+++=strong
to ^to++++=to
protect ^vbi++++=protect
German ^jj+atrb+++=German
freedom ^nn++++=freedom
and ^cc++++=and
democracy ^nn++++=democracy
in ^in++++=in
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
a ^at++++=a
legitimisation ^nn+++??+=legitimisation
by ^in++++=by
stoking ^nn+++??+=stoking
fear ^vb++++=fear
of ^in++++=of
a ^at++++=a
hypothetical ^jj+atrb+++=hypothetical
future ^nn++++=future
( ^zz++++=(REYES,
reyes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
powerful ^jj+atrb+++=powerful
position ^nn++++=position
Germany ^np++++=Germany
holds ^vbz+vprv+++=holds
within ^in++++=within
the ^ati++++=the
Eu ^np+++??+=EU,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
announces ^vbz+vpub+++=announces
this ^dt+dem+++=this
threat ^nn++++=threat
not ^xnot++not++=not
just ^rb+emph+++=just
for ^in++++=for
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
expects ^vbz++++=expects
all ^rb++++=all
of ^in++++=of
europe ^np++++=Europe
to ^to++++=to
follow ^vb+vprv+++=follow
his ^pp$+pp3+++=his
paradigm ^nn++++=paradigm
shift ^nn++++=shift.
. ^zz++++=EXTRAWORD
