This ^dt+dem+++=This
article ^nn++++=article
concludes ^vbz+vprv+++=concludes
that ^tht+vcmp+++=that
the ^ati++++=the
orthodox ^jj+atrb+++=orthodox
models ^nns++++=models
that ^tht+rel+obj++=that
favor ^nn++++=favor
full ^jj+atrb+++=full
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+++??+=liberalization
in ^in++++=in
the ^ati++++=the
1980s ^cd+date+++=1980s
and ^cc++++=and
1990s ^cd+date+++=1990s
were ^vbd+bed+aux++=were
gradually ^rb++splt++=gradually
contradicted ^vpsv++by+xvbnx+=contradicted
by ^in++++=by
empirical ^jj+atrb+++=empirical
studies ^nns++++=studies
showing ^vwbg+++xvbg+=showing
flaws ^nns++++=flaws
in ^in++++=in
these ^dt+dem+++=these
models ^nns++++=models,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
by ^in++++=by
studies ^nns++++=studies
that ^tht+rel+subj++=that
demonstrate ^vb+vprv+++=demonstrate
the ^ati++++=the
desirability ^nn++++=desirability
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^in++++=to
all ^abn++++=all
of ^in++++=of
this ^dt+dem+++=this
evidence ^nn++++=evidence,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
orthodox ^jj+atrb+++=orthodox
models ^nns++++=models
that ^tht+rel+obj++=that
support ^nn++++=support
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
controls ^vbz++++=controls
stand ^vb++++=stand
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
new ^jj+atrb+++=new
models ^nns++++=models
are ^vb+ber+vrb++=are
therefore ^rb+cnj+++=therefore
ex ^np++++=ex-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
theoretical ^jj+atrb+++=theoretical
constructions ^nns++++=constructions,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
former ^ap++++=former
ones ^cd1s++++=ones
were ^vbd+bed+vrb++=were
ex ^np++++=ex-ante
- ^zz++++=EXTRAWORD
ante ^nn+++??+=EXTRAWORD
theoretical ^jj+atrb+++=theoretical
models ^nns++++=models.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
theoretical ^jj+atrb+++=theoretical
reorientation ^nn++++=reorientation
process ^nn++++=process,
, ^zz++++=EXTRAWORD
the ^ati++++=the
period ^nn++++=period
after ^cs+sub+++=after
the ^ati++++=the
global ^jj+atrb+++=global
crises ^nns++++=crises
of ^in++++=of
2008 ^cd++++=2008
was ^vbd+bedz+vrb++=was
fundamental ^jj++++=fundamental
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
negative ^jj+atrb+++=negative
effects ^nns++++=effects
on ^in++++=on
national ^jj+atrb+++=national
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
emerging ^vbg+++xvbg+=emerging
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
generated ^vpsv++by+xvbn+=generated
by ^in++++=by
the ^ati++++=the
instability ^nn++++=instability
of ^in++++=of
international ^jj+atrb+++=international
capital ^nn++++=capital
flows ^nns++++=flows.
. ^zz++++=EXTRAWORD
