According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
all ^abn++++=all
properties ^nns++++=properties
of ^in++++=of
formulations ^nns++++=formulations,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used:
: ^zz++++=EXTRAWORD
preservation ^nn++++=preservation,
, ^zz++++=EXTRAWORD
deletion ^nn+++??+=deletion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transformation ^nn++++=transformation;
; ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
the ^ati++++=the
cases ^nns++++=cases
had ^vb+hv+vrb++=had
a ^at++++=a
predominantly ^rb++++=predominantly
transformative ^nn+++??+=transformative
function ^nn++++=function.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cross ^jj++++=cross-examining
- ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=EXTRAWORD
lawyer ^nn++++=lawyer
preserved ^vwbn+++xvbn+=preserved
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
defendant ^nn++++=defendant
s ^zz++++=s
words ^nns++++=words
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example:
: ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
makes ^vbz++++=makes
sense ^nn++++=sense
in ^in++++=in
when ^wrb+who+++=when
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that
makes ^vbz++++=makes
sense ^nn++++=sense
although ^cs+con+++=although
it ^pp3+it+++=it
makes ^vbz++++=makes
sense ^nn++++=sense
( ^zz++++=(here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
words ^nns++++=words
were ^vbd+bed+aux++=were
preserved ^vpsv++agls+xvbnx+=preserved
deictically ^nn+++??+=deictically
in ^in++++=in
the ^ati++++=the
second ^od++++=second
occurrence ^nn++++=occurrence
as ^ql++++=as
that ^dt+pdem+++=that
had ^vb+hv+vrb++=had
a ^at++++=a
grammatical ^jj+atrb+++=grammatical
substitute ^nn++++=substitute
it ^pp3+it+++=it).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
moments ^nns++++=moments,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
omitted ^vbd+++xvbnx+=omitted
some ^dti++++=some
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
mostly ^rb++++=mostly
used ^vbd+++xvbn+=used
altered ^vbd+++xvbn+=altered
forms ^nns++++=forms
in ^in++++=in
his ^pp$+pp3+++=his
formulations ^nns++++=formulations,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
by ^in++++=by
transforming ^xvbg+++xvbg+=transforming
what ^wdt+who+++=what
the ^ati++++=the
defendant ^nn++++=defendant
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
offered ^vbd+++xvbnx+=offered
his ^pp$+pp3+++=his
own ^ap++++=own
version ^nn++++=version
of ^in++++=of
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
and ^cc+phrs+++=and
invited ^vbd+++xvbn+=invited
the ^ati++++=the
listeners ^nns++++=listeners
to ^to++++=to
agree ^vbi+vpub+++=agree
with ^in++++=with
the ^ati++++=the
interpretation ^nn++++=interpretation
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
in ^in++++=in
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
