Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Bibliographic ^np+++??+=Bibliographic
data ^nns++++=data
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
Lilacs ^np+++??+=LILACS
for ^in++++=for
systematically ^rb++++=systematically
indexed ^vbd+++xvbn+=indexed
journals ^nns++++=journals
with ^in++++=with
at ^in++++=at
least ^ql++++=least
50 ^cd++++=50
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles
( ^zz++++=(that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
with ^in++++=with
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
individual ^jj+atrb+++=individual
author ^nn++++=author)
) ^zz++++=EXTRAWORD
from ^in++++=from
2015 ^cd++++=2015
to ^to++++=to
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
Authors ^nns++++=Authors
were ^vbd+bed+aux++=were
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
their ^pp$+pp3+++=their
name ^nn++++=name
or ^cc++++=or,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
Orcid ^np+++??+=ORCID
id ^nn+++??+=id.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ppmp ^np+++??+=PPMP
was ^vbd+bedz+vrb++=was
the ^ati++++=the
number ^nn++++=number
articles ^nns++++=articles
by ^in++++=by
the ^ati++++=the
journal ^nn++++=journal
s ^zz++++=s
most ^ap+emph+++=most
prolific ^jj+atrb+++=prolific
author ^nn++++=author,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient
counted ^vbd+++xvbn+=counted
more ^rbr++++=more
than ^in++++=than
once ^rb+tm+++=once
articles ^nns++++=articles
with ^in++++=with
multiple ^jj+atrb+++=multiple
authors ^nns++++=authors
author ^nn++++=author.
. ^zz++++=EXTRAWORD
For ^in++++=For
comparison ^nn++++=comparison
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
Medline ^np+++??+=MEDLINE
data ^nns++++=data
were ^vbd+bed+vrb++=were
reweighted ^nn+++??+=reweighted
to ^in++++=to
have ^vbi++vrb++=have
the ^ati++++=the
same ^ap++++=same
distribution ^nn++++=distribution
of ^in++++=of
journal ^nn++++=journal
size ^nn++++=size
( ^zz++++=(number
number ^nn++++=EXTRAWORD
of ^in++++=of
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles)
) ^zz++++=EXTRAWORD
as ^ql++++=as
lilacs ^np++++=LILACS
journals ^nns++++=journals.
. ^zz++++=EXTRAWORD
