Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++=of
carrying ^xvbg+++xvbg+=carrying
out ^rp+pl+++=out
jobs ^nns++++=jobs
that ^tht+rel+subj++=that
involve ^vb++++=involve
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
contact ^nn++++=contact
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
spread ^xvbn+++xvbn+=spread
characteristics ^nns++++=characteristics
or ^cc++++=or
the ^ati++++=the
government ^nn++++=government
definitions ^nns++++=definitions
about ^in++++=about
essential ^nn++++=essential
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
central ^jj+atrb+++=central
question ^nn++++=question
behind ^in+pl+++=behind
the ^ati++++=the
results ^nns++++=results
is ^vbz+bez+vrb++=is
whether ^cs+who+++=whether
or ^cc++++=or
not ^xnot++not++=not
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
do ^vbi++++=do
the ^ati++++=the
job ^nn++++=job
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
Yasenov ^np+++??+=Yasenov
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gallacher ^np+++??+=Gallacher
and ^cc++++=and
Hossain ^np+++??+=Hossain
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Crowley ^np+++??+=Crowley
and ^cc++++=and
Doran ^np+++??+=Doran
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brussevich ^np+++??+=Brussevich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Bartik ^np+++??+=Bartik
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
focused ^vbd+++xvbn+=focused
specifically ^rb++++=specifically
on ^in++++=on
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
covering ^vbg+++xvbg+=covering
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
Canada ^np++++=Canada
and ^cc++++=and
the ^ati++++=the
Organization ^nn++++=Organization
for ^in++++=for
Economic ^jj+atrb+++=Economic
Co ^nn++++=Co-operation
- ^zz++++=EXTRAWORD
operation ^nn++++=EXTRAWORD
and ^cc++++=and
Development ^nn++++=Development
( ^zz++++=(OECD)
oecd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
until ^in++++=until
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
studies ^nns++++=studies
analyzed ^nn+++??+=analyzed
developed ^vbd+++xvbn+=developed
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
authors ^nns++++=authors
who ^whp+rel+subj++=who
adopted ^vprf+++xvbn+=adopted
this ^dt+dem+++=this
focus ^nn++++=focus,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
mention ^vb+vpub+++=mention
Balde ^np+++??+=Balde
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Estupinan ^np+++??+=Estupinan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gottlieb ^np+++??+=Gottlieb
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Khamis ^np+++??+=Khamis
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021).
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
these ^dt+dem+++=these
studies ^nns++++=studies
have ^vb+hv+vrb++=have
specificities ^nns+++??+=specificities,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
convergence ^nn+++??+=convergence
regarding ^in++++=regarding
the ^ati++++=the
important ^jj+atrb+++=important
inequalities ^nns++++=inequalities
in ^in++++=in
the ^ati++++=the
probability ^nn++++=probability
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
aspects ^nns++++=aspects
of ^in++++=of
income ^nn++++=income,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
education ^nn++++=education,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
employment ^nn++++=employment
contract ^nn++++=contract
arrangements ^nns++++=arrangements,
, ^zz++++=EXTRAWORD
with ^in++++=with
fewer ^ap++++=fewer
possibilities ^nns++++=possibilities
for ^in++++=for
more ^rbr++++=more
vulnerable ^jj+atrb+++=vulnerable
groups ^nns++++=groups
in ^in++++=in
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market.
. ^zz++++=EXTRAWORD
