[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
set ^vbd+++xvbnx+=set
constraints ^nns+++??+=constraints
on ^in++++=on
what ^wdt+who+++=what
should ^md+nec+++=should
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
a ^at++++=a
next ^ap++++=next
turn ^nn++++=turn
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
question ^nn++++=question
making ^vwbg+++xvbg+=making
answer ^nn++++=answer
especially ^rb++++=especially
relevant ^jj++++=relevant
for ^in++++=for
next ^ap++++=next
turn ^nn++++=turn),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+vrb++=do
not ^xnot++not++=not
by ^in++++=by
themselves ^ppls+pp3+++=themselves
allocate ^vb+++??+=allocate
the ^ati++++=the/a
next ^ap++++=next
turn ^nn++++=turn
to ^in++++=to
some ^dti++++=some
candidate ^nn++++=candidate
next ^ap++++=next
speaker ^npt++++=speaker.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
nonetheless ^rb+cnj+++=nonetheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
basic ^jj+atrb+++=basic
component ^nn++++=component
for ^in++++=for
selecting ^xvbg+++xvbg+=selecting
next ^ap++++=next
speaker ^npt++++=speaker,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
primarily ^rb+down+++=primarily
by ^in++++=by
affiliation ^nn++++=affiliation
a ^at++++=a
first ^od++++=first
pair ^nn++++=pair-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
the ^ati++++=the
apparently ^rb++++=apparently
most ^ql+emph+++=most
effective ^jj+atrb+++=effective
device ^nn++++=device
for ^in++++=for
selecting ^xvbg+++xvbg+=selecting
next ^ap++++=next
speaker ^npt++++=speaker
addressing ^vwbg+++xvbg+=addressing
someone ^pn++++=someone
in ^in++++=in
fact ^nn++++=fact
works ^nns++++=works.
. ^zz++++=EXTRAWORD
( ^zz++++=(Sacks
sacks ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1974 ^cd+date+++=1974,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
717 ^cd++++=717)
) ^zz++++=EXTRAWORD
