Lastly ^rb+cnj+++=Lastly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
condense ^vbi++++=condense
mcarmen ^vb+++xvbn+=mCARMEN
for ^in++++=for
focused ^vbd+++xvbn+=focused
clinical ^jj+atrb+++=clinical
use ^nn++++=use
and ^cc++++=and
did ^vbd+dod+vrb++=did
so ^rb++++=so
by ^in++++=by
developing ^xvbg+++xvbg+=developing
a ^at++++=a
respiratory ^jj+atrb+++=respiratory
virus ^nn++++=virus
panel ^nn++++=panel
( ^zz++++=(RVP)
rvp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
detect ^vbi++++=detect
nine ^cd++++=nine
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
clinically ^rb++++=clinically
relevant ^jj+atrb+++=relevant
viruses ^nns++++=viruses
( ^zz++++=(SARS-CoV-2,
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-HKU1,
- ^zz++++=EXTRAWORD
hku1 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-OC43,
- ^zz++++=EXTRAWORD
oc43 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-NL63,
- ^zz++++=EXTRAWORD
nl63 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Fluav ^np+++??+=FLUAV,
, ^zz++++=EXTRAWORD
influenza ^nn++++=influenza
B ^zz++++=B
virus ^nn++++=virus
( ^zz++++=(FLUBV),
flubv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
parainfluenza ^nn+++??+=parainfluenza
virus ^nn++++=virus
serotype ^nn+++??+=serotype
3 ^zz++++=3
( ^zz++++=(HPIV-3),
hpiv ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
respiratory ^jj+atrb+++=respiratory
syncytial ^jj+atrb+++=syncytial
virus ^nn++++=virus
( ^zz++++=(HRSV)
hrsv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Hmpv ^np+++??+=HMPV)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
human ^jj+atrb+++=human
internal ^jj+atrb+++=internal
control ^nn++++=control,
, ^zz++++=EXTRAWORD
( ^zz++++=(RNase
rnase ^nn+++??+=EXTRAWORD
P ^zz++++=P).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
nine ^cd++++=nine
viruses ^nns++++=viruses
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
Rvp ^np+++??+=RVP
based ^vwbn+++xvbn+=based
on ^in++++=on
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
heavily ^rb++++=heavily
circulate ^nn+nom+++=circulate
in ^in++++=in
the ^ati++++=the
population ^nn+nom+++=population
and ^cc++++=and
have ^vb+hv+vrb++=have
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
cause ^vbi++++=cause
respiratory ^jj+atrb+++=respiratory
virus ^nn++++=virus
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
if ^cs+cnd+++=if
genomic ^jj+atrb+++=genomic
diversity ^nn+nom+++=diversity
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
concisely ^jj++++=concisely,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Hrv ^np+++??+=HRV
. ^zz++++=.
We ^pp1a+pp1+++=We
first ^od++++=first
conducted ^vbd+++xvbn+=conducted
range ^nn++++=range-determining
- ^zz++++=EXTRAWORD
determining ^xvbg+++xvbg+=EXTRAWORD
limit ^vb++++=limit
of ^in++++=of
detection ^nn+nom+++=detection
( ^zz++++=(LOD)
lod ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
for ^in++++=for
the ^ati++++=the
nine ^cd++++=nine
viruses ^nns++++=viruses
on ^in++++=on
the ^ati++++=the
mcarmen ^jj+++xvbn+=mCARMEN
Rvp ^np+++??+=RVP
in ^in++++=in
a ^at++++=a
research ^nn++++=research
