Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
all ^abn++++=all
participants ^nns+nom+++=participants
were ^vbd+bed+vrb++=were
clinically ^rb++++=clinically
stable ^jj+pred+++=stable,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
reported ^jj+++xvbn+=reported
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
hepatic ^jj+atrb+++=hepatic
issues ^nns++++=issues
to ^in++++=to
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Histopathological ^np+++??+=Histopathological
findings ^nns++++=findings
showed ^vbd+vprv++xvbn+=showed
minimal ^jj+atrb+++=minimal
changes ^nns++++=changes
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
considered ^vpsv++by+xvbnx+=considered
by ^in++++=by
an ^at++++=an
independent ^jj+atrb+++=independent
expert ^nn++++=expert
liver ^nn++++=liver
pathologist ^nn+nom+++=pathologist
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be
clinically ^rb++++=clinically
meaningful ^jj+pred+++=meaningful.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
study ^nn++++=study
population ^nn+nom+++=population
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young
and ^cc+cls+++=and
otherwise ^rb+cnj+++=otherwise
healthy ^jj++++=healthy
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
abnormal ^jj+atrb+++=abnormal
histology ^nn+++??+=histology,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
secondary ^jj++++=secondary
to ^in++++=to
chronic ^jj+atrb+++=chronic
hepatitis ^nns+++??+=hepatitis
C ^zz++++=C,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
might ^md+pos+++=might
be ^vb+be+aux++=be
present ^vb++++=present
in ^in++++=in
some ^dti++++=some
older ^jjr+atrb+++=older
patients ^nns++++=patients
with ^in++++=with
hemophilia ^nn+++??+=hemophilia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
occurrence ^nn+nom+++=occurrence
of ^in++++=of
mild ^jj+atrb+++=mild
steatosis ^nns+++??+=steatosis
among ^in++++=among
most ^ql+emph+++=most
biopsy ^vb+++??+=biopsy
samples ^nns++++=samples
was ^vbd+bedz+vrb++=was
representative ^nn++++=representative
of ^in++++=of
the ^ati++++=the
expected ^jj+atrb++xvbn+=expected
high ^jj+atrb+++=high
prevalence ^nn+nom+++=prevalence
within ^in++++=within
normal ^jj+atrb+++=normal
male ^jj+atrb+++=male
populations ^nns+nom+++=populations
in ^in++++=in
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries
. ^zz++++=.
The ^ati++++=The
presence ^nn+nom+++=presence
of ^in++++=of
minimal ^jj+atrb+++=minimal
portal ^nn++++=portal
and ^cc++++=and
lobular ^nn+++??+=lobular
sinusoidal ^jj+atrb+++=sinusoidal
infiltrates ^nns+nom+++=infiltrates
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unusual ^jj++++=unusual
in ^in++++=in
liver ^nn++++=liver
biopsy ^nn++++=biopsy
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
even ^rb++++=even
with ^in++++=with
normal ^jj+atrb+++=normal
enzyme ^nn++++=enzyme
markers ^nns+nom+++=markers
. ^zz++++=.
