The ^ati++++=The
research ^nn++++=research
leading ^vwbg+++xvbg+=leading
to ^in++++=to
these ^dt+dem+++=these
results ^nns++++=results
received ^vbd+++xvbn+=received
funding ^jj+++xvbg+=funding
from ^in+strn+++=from:
: ^zz++++=EXTRAWORD
Fondazione ^np+++??+=FONDAZIONE
Airc ^np+++??+=AIRC
under ^in++++=under
5 ^zz++++=5
per ^in++++=per
Mille ^np+++??+=Mille
2018 ^cd++++=2018
( ^zz++++=(ID
id ^nn+++??+=EXTRAWORD
21091 ^cd++++=21091
program ^nn+++??+=program)
) ^zz++++=EXTRAWORD
( ^zz++++=(A.B.,
a.b ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
D.r ^np+++??+=D.R.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
C.m ^np+++??+=C.M.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
S.m ^np+++??+=S.M.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S.s. ^np+++??+=S.S.);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Airc ^np+++??+=AIRC
under ^in++++=under
Ig ^np+++??+=IG
2018 ^cd++++=2018
( ^zz++++=(ID
id ^nn+++??+=EXTRAWORD
21923 ^cd++++=21923
project ^nn++++=project)
) ^zz++++=EXTRAWORD
( ^zz++++=(A.B.);
a.b. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
European ^jj+atrb+++=European
Research ^nn++++=Research
Council ^nn++++=Council
under ^in++++=under
the ^ati++++=the
European ^jj+atrb+++=European
Union ^nn++++=Union
s ^zz++++=s
Horizon ^nn++++=Horizon
2020 ^cd++++=2020
research ^nn++++=research
and ^cc++++=and
innovation ^nn+nom+++=innovation
programme ^nn++++=programme
( ^zz++++=(grant
grant ^np++++=EXTRAWORD
agreement ^nn+nom+++=agreement
no ^rb++++=no.
. ^zz++++=EXTRAWORD
101020342 ^cd++++=101020342)
) ^zz++++=EXTRAWORD
( ^zz++++=(A.B.);
a.b. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Imi ^np+++??+=IMI
contract ^nn++++=contract
no ^rb++++=no.
. ^zz++++=EXTRAWORD
101007937 ^cd++++=101007937
Persist ^nn+nom+++=PERSIST-SEQ
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
( ^zz++++=(A.B.);
a.b. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
International ^jj+atrb+++=International
Accelerator ^np+++??+=Accelerator
Award ^nn++++=Award,
, ^zz++++=EXTRAWORD
Acrcelerate ^np+nom++??+=ACRCelerate,
, ^zz++++=EXTRAWORD
jointly ^rb++++=jointly
funded ^vpsv++by+xvbn+=funded
by ^in++++=by
Cancer ^nn++++=Cancer
Research ^nn++++=Research
Uk ^np++++=UK
( ^zz++++=(A26825
a26825 ^nn+++??+=EXTRAWORD
and ^cc++++=and
A28223 ^np+++??+=A28223),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fc ^np+++??+=FC
Aecc ^np+++??+=AECC
( ^zz++++=(GEACC18004TAB)
geacc18004tab ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Airc ^np+++??+=AIRC
( ^zz++++=(22795)
22795 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(A.B.);
a.b. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Biligect ^np+++??+=BiLiGeCT,
, ^zz++++=EXTRAWORD
Progetto ^np+++??+=Progetto
Pon ^np+++??+=PON
Ars01_00492 ^np+++??+=ARS01_00492
( ^zz++++=(A.B.);
a.b. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Ministero ^np+++??+=Ministero
della ^&fw++++=della
Salute ^vb++++=Salute,
, ^zz++++=EXTRAWORD
Ricerca ^np+++??+=Ricerca
Corrente ^np+++??+=Corrente
2021 ^cd++++=2021-2022;
- ^zz++++=EXTRAWORD
2022 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Fondazione ^np+++??+=Fondazione
Oncologia ^np+++??+=Oncologia
Niguarda ^np+++??+=Niguarda
Onlus ^np+++??+=ONLUS;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Amgen ^np+++??+=Amgen
that ^tht+rel+subj++=that
donated ^vwbn+++xvbn+=donated
panitumumab ^nn+++??+=panitumumab
for ^in++++=for
clinical ^jj+atrb+++=clinical
use ^nn++++=use.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thank ^vb++++=thank
the ^ati++++=the
patients ^nns++++=patients
and ^cc++++=and
their ^pp$+pp3+++=their
families ^nns++++=families,
, ^zz++++=EXTRAWORD
all ^abn++++=all
caregivers ^nns+nom+++=caregivers
and ^cc++++=and
the ^ati++++=the
referring ^vbg+++xvbg+=referring
oncologists ^nns+nom+++=oncologists.
. ^zz++++=EXTRAWORD
