Based ^xvbn+++xvbn+=Based
on ^in++++=on
data ^nns++++=data
from ^in++++=from
this ^dt+dem+++=this
phase ^nn++++=phase
1 ^zz++++=1
study ^nn++++=study
and ^cc++++=and
the ^ati++++=the
ongoing ^jj+atrb++xvbg+=ongoing
phase ^nn++++=phase
2 ^zz++++=2
Pathfinder ^np+nom++??+=PATHFINDER
( ^zz++++=(
Nct03580655 ^np++++=NCT03580655
) ^zz++++=)
study ^nn++++=study,
, ^zz++++=EXTRAWORD
avapritinib ^jj+atrb++??+=avapritinib
received ^jj+++xvbn+=received
United ^np++++=United
States ^nns++++=States
Fda ^np+++??+=FDA
approval ^nn+nom+++=approval
in ^in++++=in
June ^nr++++=June
2021 ^cd++++=2021
for ^in++++=for
adult ^jj+atrb+++=adult
patients ^nns++++=patients
with ^in++++=with
all ^abn++++=all
subtypes ^nns+++??+=subtypes
of ^in++++=of
Advsm ^np+++??+=AdvSM,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
recommended ^jj+atrb++xvbn+=recommended
dose ^nn++++=dose
of ^in++++=of
200 ^cd++++=200
mg ^nnu++++=mg
orally ^rb++++=orally
Qd ^np+++??+=QD.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
risks ^nns++++=risks
of ^in++++=of
Icb ^np+++??+=ICB
associated ^vbd+++xvbn+=associated
with ^in++++=with
severe ^jj+atrb+++=severe
thrombocytopenia ^nn+++??+=thrombocytopenia,
, ^zz++++=EXTRAWORD
avapritinib ^nn+++??+=avapritinib
is ^vbz+bez+aux++=is
not ^xnot++not++=not
recommended ^vbd+vsua++xvbn+=recommended
for ^in++++=for
the ^ati++++=the
treatment ^nn+nom+++=treatment
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
Advsm ^np+++??+=AdvSM
with ^in++++=with
a ^at++++=a
platelet ^nn+nom+++=platelet
count ^nn++++=count
of ^in++++=of
< ^zz++++=<50
50 ^cd++++=EXTRAWORD
10 ^cd++++=10
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
phase ^nn++++=phase
1 ^zz++++=1
dose ^nn++++=dose-escalation/expansion
- ^zz++++=EXTRAWORD
escalation ^nn+nom+++=EXTRAWORD
study ^vb++++=study
demonstrated ^vbd+vprv++xvbn+=demonstrated
that ^tht+vcmp+++=that
potent ^jj+atrb+++=potent
and ^cc+phrs+++=and
selective ^jj+atrb+++=selective
inhibition ^nn+nom+++=inhibition
of ^in++++=of
Kit ^nn++++=KIT
D816v ^np+++??+=D816V
by ^in++++=by
avapritinib ^nn++++=avapritinib
elicited ^vbd+++xvbn+=elicited
rapid ^jj+atrb+++=rapid,
, ^zz++++=EXTRAWORD
profound ^jj+atrb+++=profound
reductions ^nns+nom+++=reductions
of ^in++++=of
measures ^nns++++=measures
of ^in++++=of
mast ^nn++++=mast
cell ^nn++++=cell
disease ^nn++++=disease
burden ^nn++++=burden,
, ^zz++++=EXTRAWORD
resolved ^vpbn+vsua++xvbn+=resolved
organ ^nn++++=organ
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
improved ^jj+atrb++xvbn+=improved
patients ^nns++++=patients
symptoms ^nns++++=symptoms
across ^in+pl+++=across
the ^ati++++=the
spectrum ^nn++++=spectrum
of ^in++++=of
advsm ^np++++=AdvSM
subtypes ^nns++++=subtypes.
. ^zz++++=EXTRAWORD
