Urban ^jj+atrb+++=Urban
planners ^nns+nom+++=planners
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
zoning ^jj+atrb++xvbg+=zoning
incentives ^nns++++=incentives
to ^to++++=to
attract ^vbi++++=attract
supermarkets ^nns++++=supermarkets
to ^in++++=to
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
neighborhoods ^nns+nom+++=neighborhoods,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cities ^nns++++=cities
rezone ^jj+atrb++??+=rezone
land ^nn++++=land
for ^in++++=for
a ^at++++=a
much ^ap++++=much
wider ^jjr++++=wider
set ^vbd+++xvbn+=set
of ^in++++=of
goals ^nns++++=goals,
, ^zz++++=EXTRAWORD
often ^rb++++=often
paying ^vbg+++xvbg+=paying
little ^ap++++=little
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
effects ^nns++++=effects
on ^in++++=on
food ^nn++++=food
access ^nn++++=access
and ^cc++++=and
food ^nn++++=food
security ^nn+nom+++=security.
. ^zz++++=EXTRAWORD
By ^in++++=By
defining ^xvbg+++xvbg+=defining
the ^ati++++=the
form ^nn++++=form,
, ^zz++++=EXTRAWORD
size ^nn++++=size,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uses ^nns++++=uses
of ^in++++=of
commercial ^jj+atrb+++=commercial
parcels ^nns++++=parcels,
, ^zz++++=EXTRAWORD
zoning ^jj+++xvbg+=zoning
can ^md+pos+++=can
privilege ^vb++++=privilege
certain ^jj+atrb+++=certain
types ^nns++++=types
of ^in++++=of
food ^nn++++=food
retailers ^nns+nom+++=retailers,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
big ^jj++++=big-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
wholesale ^jjb+atrb+++=wholesale
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
over ^rp++++=over
others ^aps++++=others,
, ^zz++++=EXTRAWORD
such ^abl++++=such
