Legal ^jj+atrb+++=Legal
action ^nn++++=action
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
widely ^rb++splt++=widely
used ^vpsv++agls+xvbn+=used
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increasingly ^rb++++=increasingly
worldwide ^jj+++??+=worldwide,
, ^zz++++=EXTRAWORD
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
supply ^nn++++=supply
of ^in++++=of
health ^nn++++=health-harming
- ^zz++++=EXTRAWORD
harming ^jj+atrb++xvbg+=EXTRAWORD
products ^nns++++=products,
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
manufacturers ^nns+nom+++=manufacturers
to ^in++++=to
account ^nn++++=account,
, ^zz++++=EXTRAWORD
recover ^vb++++=recover
societal ^jj+atrb+++=societal
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
compensate ^nn+nom+++=compensate
for ^in++++=for
harms ^nn++++=harms
caused ^vbd+++xvbn+=caused.
. ^zz++++=EXTRAWORD
Product ^nn++++=Product
liability ^nn+nom+++=liability
law ^nn++++=law,
, ^zz++++=EXTRAWORD
spanning ^vbg+++xvbg+=spanning
several ^ap++++=several
theories ^nns++++=theories
of ^in++++=of
liability ^nn+nom+++=liability
and ^cc++++=and
classes ^nns++++=classes
of ^in++++=of
plaintiffs ^nns+++??+=plaintiffs,
, ^zz++++=EXTRAWORD
emerged ^j+++xvbn+=emerged
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
during ^in++++=during
the ^ati++++=the
1960s ^cd+date+++=1960s
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
field ^nn++++=field
of ^in++++=of
study ^nn++++=study.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
development ^nn+nom+++=development
followed ^vbd+vprv++xvbn+=followed
two ^cd++++=two
landmark ^nn++++=landmark
legal ^jj+atrb+++=legal
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
Greenman ^np+nom++??+=Greenman
v ^zz++++=v.
. ^zz++++=EXTRAWORD
Yuba ^np+++??+=Yuba
Power ^nn++++=Power
Products ^nns++++=Products
( ^zz++++=(in
in ^in++++=EXTRAWORD
1963 ^cd+date+++=1963),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
recognized ^vbn+vprv++xvbn+=recognized
that ^tht+vcmp+++=that
a ^at++++=a
defendant ^nn+nom+++=defendant's
's ^$++++=EXTRAWORD
liability ^nn+nom+++=liability
should ^md+nec+++=should
be ^vb+be+aux++=be
based ^vpsv++agls+xvbnx+=based
not ^xnot++not++=not
on ^in++++=on
the ^ati++++=the
defendant ^nn+nom+++=defendant's
's ^$++++=EXTRAWORD
fault ^nn++++=fault
or ^cc++++=or
warranty ^nn+++??+=warranty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
whether ^cs+who+++=whether
part ^nn++++=part
of ^in++++=of
a ^at++++=a
business ^nns+nom+++=business
enterprise ^nn++++=enterprise
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
inflicting ^xvbg+++xvbg+=inflicting
injuries ^nns++++=injuries
( ^zz++++=(
101 ^cd++++=101
) ^zz++++=).
. ^zz++++=EXTRAWORD
On ^in++++=On
health ^nn++++=health-harming
- ^zz++++=EXTRAWORD
harming ^jj+atrb++xvbg+=EXTRAWORD
products ^nns++++=products,
, ^zz++++=EXTRAWORD
evidence ^nn+nom+++=evidence
of ^in++++=of
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
lung ^nn++++=lung
cancer ^nn++++=cancer
and ^cc++++=and
smoking ^jj+++xvbg+=smoking
then ^rn+tm+++=then
prompted ^vbd+++xvbn+=prompted
a ^at++++=a
first ^od++++=first
wave ^nn++++=wave
of ^in++++=of
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
legal ^jj+atrb+++=legal
cases ^nns++++=cases
by ^in++++=by
individual ^jj+atrb+++=individual
plaintiffs ^nns+++??+=plaintiffs
against ^in++++=against
American ^jj+atrb+++=American
tobacco ^nn++++=tobacco
companies ^nns++++=companies
from ^in++++=from
the ^ati++++=the
1960s ^cd+date+++=1960s
onward ^jjb++++=onward.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
cases ^nns++++=cases
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
legal ^jj+atrb+++=legal
theories ^nns++++=theories:
: ^zz++++=EXTRAWORD
negligent ^jj+atrb+++=negligent
manufacture ^nn++++=manufacture,
, ^zz++++=EXTRAWORD
product ^nn++++=product
liability ^nn+nom+++=liability,
, ^zz++++=EXTRAWORD
negligent ^jj+atrb+++=negligent
advertising ^nvbg+++xvbg+=advertising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fraud ^nn++++=fraud.
. ^zz++++=EXTRAWORD
All ^abn++++=All
were ^vbd+bed+aux++=were
successfully ^rb++splt++=successfully
defended ^vpsv++agls+xvbnx+=defended
on ^in++++=on
the ^ati++++=the
grounds ^nns++++=grounds
that ^tht+ncmp+++=that
tobacco ^nn++++=tobacco
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
harmful ^jj++++=harmful,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
cancer ^nn++++=cancer
is ^vbz+bez+aux++=is
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
other ^ap++++=other
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
smokers ^nns+nom+++=smokers
assume ^vb+vprv+++=assume
responsibility ^nn+nom+++=responsibility
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
choose ^vb++++=choose
to ^to+vcmp+++=to
smoke ^vb++++=smoke.
. ^zz++++=EXTRAWORD
A ^at++++=A
smaller ^jjr+atrb+++=smaller
number ^nn++++=number
of ^in++++=of
similar ^jj+atrb+++=similar
cases ^nns++++=cases
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
in ^rb+phrv+++=in
other ^ap++++=other
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
including ^in++++=including
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom ^nn+nom+++=Kingdom,
, ^zz++++=EXTRAWORD
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
South ^np+pl+++=South
Korea ^np++++=Korea.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
wave ^nn++++=wave
of ^in++++=of
litigation ^nn+nom+++=litigation
began ^vbd+++xvbn+=began
in ^in++++=in
the ^ati++++=the
1980s ^cd+date+++=1980s
on ^in++++=on
the ^ati++++=the
grounds ^nns++++=grounds
that ^tht+ncmp+++=that
tobacco ^nn++++=tobacco
companies ^nns++++=companies
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
warn ^vb+vpub+++=warn
consumers ^nns+nom+++=consumers,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
cigarettes ^nns+nom+++=cigarettes
are ^vb+ber+vrb++=are
addictive ^jj+pred+++=addictive
and ^cc++++=and
cause ^nn++++=cause
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
largely ^rb++++=largely
unsuccessful ^jj+pred+++=unsuccessful,
, ^zz++++=EXTRAWORD
with ^in++++=with
companies ^nns++++=companies
arguing ^vb+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
smokers ^nns+nom+++=smokers
knowingly ^rb++++=knowingly
assumed ^vbd+vprv++xvbn+=assumed
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
cancer ^nn++++=cancer
by ^in++++=by
smoking ^xvbg+++xvbg+=smoking
and ^cc++++=and
that ^tht+vcmp+++=that
states ^nns++++=states
lacked ^vbd+++xvbn+=lacked
jurisdiction ^nn+nom+++=jurisdiction
over ^in++++=over
federal ^jj+atrb+++=federal
laws ^nns++++=laws
governing ^vwbg+++xvbg+=governing
advertising ^nvbg+++xvbg+=advertising.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
internal ^jj+atrb+++=internal
industry ^nn++++=industry
documents ^nns+nom+++=documents
prompted ^vbd+++xvbn+=prompted
a ^at++++=a
turning ^jj+atrb++xvbg+=turning
point ^nn++++=point
in ^in++++=in
the ^ati++++=the
success ^nns+nom+++=success
of ^in++++=of
legal ^jj+atrb+++=legal
cases ^nns++++=cases
brought ^vwbn+++xvbn+=brought
by ^in++++=by
individual ^jj+atrb+++=individual
plaintiffs ^nns+++??+=plaintiffs
against ^in++++=against
tobacco ^nn++++=tobacco
companies ^nns++++=companies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
third ^nn++++=third
wave ^nn++++=wave
of ^in++++=of
cases ^nns++++=cases
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
rise ^nn++++=rise
of ^in++++=of
class ^nn++++=class
action ^nn++++=action
lawsuits ^nns++++=lawsuits,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
pooled ^vbd+++xvbn+=pooled
the ^ati++++=the
costs ^nns++++=costs
of ^in++++=of
legal ^jj+atrb+++=legal
action ^nn++++=action
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
any ^dti++++=any
settlements ^nns+nom+++=settlements.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
notably ^rb+cnj+++=notably,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US
state ^nn++++=state
attorneys ^nns++++=attorneys
general ^rb++++=general
filed ^vbd+++xvbn+=filed
cases ^nns++++=cases
individually ^rb++++=individually
and ^cc+phrs+++=and
then ^rn+tm+++=then
collectively ^rb++++=collectively
against ^in++++=against
tobacco ^nn++++=tobacco
companies ^nns++++=companies
to ^to++++=to
recover ^vbi++++=recover
health ^nn++++=health
care ^nn++++=care
costs ^nns++++=costs
from ^in++++=from
smoking ^nn++++=smoking.
. ^zz++++=EXTRAWORD
In ^in++++=In
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Minnesota ^np+++??+=Minnesota
Consent ^nn++++=Consent
Judgment ^nn+nom+++=Judgment
led ^vbd+++xvbn+=led
to ^in++++=to
the ^ati++++=the
release ^nn++++=release
of ^in++++=of
tens ^cds++++=tens
of ^in++++=of
millions ^cds++++=millions
of ^in++++=of
pages ^nns++++=pages
of ^in++++=of
internal ^jj+atrb+++=internal
documents ^nns+nom+++=documents
that ^tht+rel+subj++=that
provided ^vprf+++xvbn+=provided
legal ^jj+atrb+++=legal
evidence ^nn+nom+++=evidence
for ^in++++=for
further ^jjb+atrb+++=further
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
In ^in++++=In
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Us ^pp1o+pp1+++=US
government ^nn+nom+++=government
filed ^vbd+++xvbn+=filed
a ^at++++=a
successful ^jj+atrb+++=successful
case ^nn++++=case
against ^in++++=against
leading ^xvbg+++xvbg+=leading
American ^jj+atrb+++=American
tobacco ^nn++++=tobacco
companies ^nns++++=companies
under ^in++++=under
the ^ati++++=the
Racketeer ^np+nom++??+=Racketeer
Influenced ^vwbn+++xvbn+=Influenced
and ^cc++++=and
Corrupt ^jj+atrb+++=Corrupt
Organizations ^nns+nom+++=Organizations
 ^zz++++=(RICO)
Rico ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Act ^nn++++=Act
 ^zz++++=(
8 ^np++++=88
	 ^zz++++=).
 ^zz++++=EXTRAWORD
