using ^vbg+++xvbg+=using
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
vaccination ^nn+nom+++=vaccination
available ^jj++++=available,
, ^zz++++=EXTRAWORD
w ^zz++++=w
( ^zz++++=(
t ^zz++++=t
) ^zz++++=),
, ^zz++++=EXTRAWORD
at ^rb++++=at
time ^nn++++=time
step ^vb++++=step
t ^zz++++=t
for ^in++++=for
each ^dt++++=each
country ^nn++++=country
( ^zz++++=(as
as ^in++++=EXTRAWORD
determined ^nn++++=determined
by ^in++++=by
the ^ati++++=the
strategy ^nn++++=strategy
being ^xvbg+++xvbg+=being
followed ^vbd+vprv++xvbn+=followed),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
decaying ^jj+atrb+++=decaying
efficacy ^nn+nom+++=efficacy
parameter ^nn+nom+++=parameter,
, ^zz++++=EXTRAWORD
, ^zz++++=,
with ^in++++=with
profiles ^nns++++=profiles
shown ^vwbn+vprv+++=shown
in ^in++++=in
fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
4a ^cd++++=4a
. ^zz++++=.
