Spike ^np+++??+=Spike-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
Iggs ^np+++??+=IgGs
were ^vbd+bed+aux++=were
induced ^vpsv++agls+xvbnx+=induced
in ^in++++=in
212 ^cd++++=212/213
individuals ^nns+nom+++=individuals
after ^in++++=after
vaccination ^nn+nom+++=vaccination.
. ^zz++++=EXTRAWORD
Igg ^np+++??+=IgG
levels ^nns++++=levels
after ^cs+sub+++=after
heterologous ^jj+atrb+++=heterologous
vaccination ^nn+nom+++=vaccination
and ^cc++++=and
homologous ^jj+atrb+++=homologous
mrna ^nn+++??+=mRNA
vaccination ^nn+nom+++=vaccination
were ^vbd+bed+vrb++=were
similar ^jj+pred+++=similar
( ^zz++++=(3,630
3,630 ^cd++++=EXTRAWORD
( ^zz++++=(IQR
iqr ^nn+++??+=EXTRAWORD
= ^zz++++==
3721 ^cd++++=3721)
) ^zz++++=EXTRAWORD
and ^cc++++=and
4,932 ^cd++++=4,932
( ^zz++++=(IQR
iqr ^nn+++??+=EXTRAWORD
= ^zz++++==
4,239 ^cd++++=4,239)
) ^zz++++=EXTRAWORD
Bau ^np+++??+=BAU
ml ^nnu++++=ml
, ^zz++++=,
respectively ^rb++++=respectively),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
levels ^nns++++=levels
after ^cs+sub+++=after
homologous ^jj+atrb+++=homologous
vector ^nn++++=vector
vaccination ^nn+nom+++=vaccination
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
lower ^jjr+pred+++=lower
( ^zz++++=(404
404 ^cd++++=EXTRAWORD
( ^zz++++=(IQR
iqr ^nn+++??+=EXTRAWORD
= ^zz++++==
510 ^cd++++=510)
) ^zz++++=EXTRAWORD
Bau ^np+++??+=BAU
ml ^nnu++++=ml
, ^zz++++=,
P ^zz++++=P
< ^zz++++=<
0.0001 ^nn+++??+=0.0001,
, ^zz++++=EXTRAWORD
two ^cd++++=two-sided
- ^zz++++=EXTRAWORD
sided ^jj+++xvbn+=EXTRAWORD
Kruskal ^np+++??+=Kruskal
Wallis ^np++++=Wallis
test ^nn++++=test
with ^in++++=with
Dunn ^np+++??+=Dunn
s ^zz++++=s
multiple ^jj+atrb+++=multiple
comparisons ^nns++++=comparisons
post ^nn++++=post
test ^nn++++=test;
; ^zz++++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1a ^cd++++=1a
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
difference ^nn+nom+++=difference
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
neutralizing ^xvbg+++xvbg+=neutralizing
antibodies ^nns++++=antibodies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
quantified ^vpsv++by+xvbnx+=quantified
by ^in++++=by
a ^at++++=a
surrogate ^nn+nom+++=surrogate
neutralization ^nn+nom+++=neutralization
test ^nn++++=test.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
individuals ^nns+nom+++=individuals
in ^in++++=in
the ^ati++++=the
vector ^nn++++=vector/mRNA
and ^cc++++=and
mrna ^nn+++??+=mRNA/mRNA
groups ^nns++++=groups
had ^vb+hv+vrb++=had
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
inhibitory ^nn++++=inhibitory
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
lower ^jjr+pred+++=lower
in ^in++++=in
the ^ati++++=the
vector ^nn++++=vector/vector
group ^nn++++=group
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1b ^cd++++=1b
) ^zz++++=).
. ^zz++++=EXTRAWORD
