Expanding ^jj+atrb++xvbg+=Expanding
access ^nn++++=access
to ^to++++=to
and ^cc++++=and
influence ^nn+nom+++=influence
of ^in++++=of
social ^jj+atrb+++=social
media ^nns++++=media
has ^vbz+hvz+aux++=has
improved ^vprf+++xvbnx+=improved
the ^ati++++=the
availability ^nn+nom+++=availability
of ^in++++=of
information ^nn+nom+++=information
and ^cc++++=and
provided ^xvbn+++xvbn+=provided
a ^at++++=a
significant ^jj+atrb+++=significant
tool ^nn++++=tool
for ^in++++=for
advocacy ^nn+nom+++=advocacy,
, ^zz++++=EXTRAWORD
both ^abx++++=both
for ^in++++=for
and ^cc++++=and
against ^in++++=against
abortion ^nn+nom+++=abortion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
global ^jj+atrb+++=global
trend ^nn++++=trend
toward ^in++++=toward
the ^ati++++=the
liberalization ^nn+nom+++=liberalization
of ^in++++=of
abortion ^nn+nom+++=abortion
laws ^nns++++=laws
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
fueled ^vpsv++by+xvbnx+=fueled
by ^in++++=by
social ^jj+atrb+++=social
movements ^nns+nom+++=movements
created ^vbd+++xvbn+=created
through ^in++++=through
social ^jj+atrb+++=social
media ^nns++++=media
( ^zz++++=(SheDecides,
shedecides ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
# ^zz++++=#MeToo
metoo ^nn+++??+=EXTRAWORD
movement ^nn+nom+++=movement)
) ^zz++++=EXTRAWORD
( ^zz++++=(
33 ^cd++++=33
) ^zz++++=),
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
contextual ^nn+nom+++=contextual
effect ^nn++++=effect
to ^in++++=to
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
these ^dt+dem+++=these
campaigns ^nns++++=campaigns
( ^zz++++=(
6 ^zz++++=6
, ^zz++++=,
16 ^cd++++=16
, ^zz++++=,
35 ^cd++++=35
, ^zz++++=,
54 ^cd++++=54
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
gendered ^jj+atrb++xvbn+=gendered
inequalities ^nns+nom+++=inequalities
in ^in++++=in
access ^nn++++=access
to ^in++++=to
information ^nn+nom+++=information
and ^cc++++=and
technology ^nn++++=technology
for ^in++++=for
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South
are ^vb+ber+aux++=are
clearly ^rb++splt++=clearly
documented ^vpsv++agls+xvbnx+=documented
( ^zz++++=(
21 ^cd++++=21
, ^zz++++=,
23 ^cd++++=23
, ^zz++++=,
47 ^cd++++=47
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
strength ^nn++++=strength
of ^in++++=of
campaigns ^nns++++=campaigns
led ^vwbn+++xvbn+=led
by ^in++++=by
the ^ati++++=the
Global ^jj+atrb+++=Global
North ^nr+pl+++=North
may ^md+pos+++=may
resonate ^nn+nom+++=resonate
with ^in++++=with
the ^ati++++=the
educated ^jj+atrb++xvbn+=educated
elite ^nn++++=elite
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South
But ^cc++++=but
Leave ^vb++++=leave
The ^ati++++=the
Majority ^nn+nom+++=majority
Of ^in++++=of
Women ^nns++++=women
Behind ^in+strn+++=behind.
 ^zz++++=EXTRAWORD
