Spinal ^np+++??+=Spinal
cord ^nn++++=cord
samples ^nns++++=samples
were ^vbd+bed+aux++=were
sectioned ^vpsv++agls+xvbnx+=sectioned
at ^rb++++=at
70m ^cd++++=70m
thickness ^nns+nom+++=thickness
on ^in++++=on
a ^at++++=a
Leica ^np+++??+=Leica
Vt ^np+++??+=VT
1000s ^cd++++=1000S
vibratome ^nn+++??+=vibratome.
. ^zz++++=EXTRAWORD
Ta ^np+++??+=TA
and ^cc++++=and
soleus ^nns+++??+=soleus
muscles ^nns++++=muscles
were ^vbd+bed+aux++=were
sectioned ^vpsv++agls+xvbnx+=sectioned
at ^rb++++=at
35m ^cd++++=35m
thickness ^nns+nom+++=thickness
on ^in++++=on
a ^at++++=a
Leica ^np+++??+=Leica
Cm ^nnu++++=CM
3050s ^cd++++=3050S
cryostat ^nn++++=cryostat.
. ^zz++++=EXTRAWORD
diaphragms ^np++++=Diaphragms
were ^vbd+bed+vrb++=were
stained ^jj+pred+++=stained
as ^ql++++=as
whole ^jj+atrb+++=whole
mount ^nn++++=mount.
. ^zz++++=EXTRAWORD
