Our ^pp$+pp1+++=Our
search ^nn++++=search
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
total ^nn++++=total
of ^in++++=of
21 ^cd++++=21
case ^nn++++=case
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
reported ^vbn+vpub++xvbn+=reported
patients ^nns++++=patients
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
diagnosed ^vpsv++agls+xvbnx+=diagnosed
during ^in++++=during
2020 ^cd++++=2020
or ^cc++++=or
early ^jj++++=early
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
which ^whp+rel+pied++=which
reported ^vbn+vpub++xvbn+=reported
patients ^nns++++=patients
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
viruses ^nns++++=viruses
belonging ^vwbg+++xvbg+=belonging
to ^to++++=to
lineages ^nns+nom+++=lineages
that ^cs+sub+++=that
pre ^nn+++??+=pre-dated
- ^zz++++=EXTRAWORD
dated ^jj++++=EXTRAWORD
the ^ati++++=the
Alpha ^np+++??+=Alpha
variant ^jj++++=variant
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
six ^cd++++=six
patients ^nns++++=patients
adhering ^vwbg+++xvbg+=adhering
to ^in++++=to
the ^ati++++=the
above ^jjb+atrb+++=above
criteria ^nns++++=criteria
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
Tasmc ^np+++??+=TASMC,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
available ^jj+atrb+++=available
samples ^nns++++=samples
were ^vbd+bed+aux++=were
sequenced ^vpsv++agls+xvbnx+=sequenced
( ^zz++++=(
Methods ^np++++=Methods
) ^zz++++=).
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
Tasmc ^np+++??+=TASMC
patients ^nns++++=patients
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
hematologic ^jj+atrb+++=hematologic
cancers ^nns+nom+++=cancers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sixth ^od++++=sixth
patient ^nn++++=patient
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
an ^at++++=an
autoimmune ^nn+++??+=autoimmune
disorder ^nn+nom+++=disorder
and ^cc++++=and
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated
with ^in++++=with
a ^at++++=a
high ^jj+atrb+++=high
dose ^nn++++=dose
of ^in++++=of
steroids ^nns+++??+=steroids.
. ^zz++++=EXTRAWORD
The ^ati++++=The
six ^cd++++=six
Tasmc ^np+++??+=TASMC
patients ^nns++++=patients
were ^vbd+bed+vrb++=were
all ^abn++++=all
diagnosed ^jj+++xvbn+=diagnosed
in ^in++++=in
late ^jj++++=late
2020 ^cd++++=2020
or ^cc++++=or
early ^jj++++=early
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
with ^in++++=with
four ^cd++++=four
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
a ^at++++=a
virus ^nn++++=virus
from ^in++++=from
pre ^nn+++??+=pre-Alpha
- ^zz++++=EXTRAWORD
alpha ^nn++++=EXTRAWORD
lineages ^nns+nom+++=lineages
and ^cc++++=and
two ^cd++++=two
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
a ^at++++=a
virus ^nn++++=virus
from ^in++++=from
the ^ati++++=the
alpha ^np++++=Alpha
lineage ^nn+nom+++=lineage
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
table ^nn++++=Table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
