Proposed ^vbd+vsua++xvbn+=Proposed
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
lifelong ^jj+atrb+++=lifelong
asset ^nn++++=asset-building
- ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=EXTRAWORD
policy ^nn++++=policy
( ^zz++++=(
102 ^cd++++=102
) ^zz++++=),
, ^zz++++=EXTRAWORD
universal ^nn+nom+++=universal
and ^cc++++=and
progressive ^jj+atrb+++=progressive
Cdas ^np+++??+=CDAs
are ^vb+ber+vrb++=are
subsidized ^jj+atrb+++=subsidized
asset ^nn++++=asset-building
- ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=EXTRAWORD
accounts ^nns++++=accounts
to ^to++++=to
support ^vbi++++=support
investments ^nns+nom+++=investments
toward ^in++++=toward
life ^nn++++=life-course
- ^zz++++=EXTRAWORD
course ^nn++++=EXTRAWORD
goals ^nns++++=goals
such ^abl++++=such
as ^ql++++=as
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
homeownership ^nn+nom+++=homeownership,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eventually ^rb+tm+++=eventually
greater ^jjr+atrb+++=greater
retirement ^nn+nom+++=retirement
security ^nn+nom+++=security.
. ^zz++++=EXTRAWORD
Cdas ^np+++??+=CDAs
give ^vb++++=give
all ^abn++++=all
children ^nns++++=children
and ^cc++++=and
families ^nns++++=families
( ^zz++++=(especially
especially ^rb++++=EXTRAWORD
those ^dt+dem+++=those
in ^in++++=in
vulnerable ^jj+atrb+++=vulnerable
conditions ^nns+nom+++=conditions)
) ^zz++++=EXTRAWORD
a ^at++++=a
structured ^jj+atrb++xvbn+=structured,
, ^zz++++=EXTRAWORD
unconditional ^jj+atrb+++=unconditional
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
accumulate ^nn+nom+++=accumulate
assets ^nns++++=assets
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
policy ^nn++++=policy
is ^vbz+bez+aux++=is
envisioned ^vpsv++agls+xvbnx+=envisioned
as ^ql++++=as
universal ^nn+nom+++=universal
in ^cs+sub+++=in
that ^cs"++++=that
every ^at++++=every
newborn ^nn++++=newborn
would ^md+prd+++=would
receive ^vb++++=receive
a ^at++++=a
Cda ^np+++??+=CDA,
, ^zz++++=EXTRAWORD
progressive ^jj++++=progressive
in ^cs+sub+++=in
that ^cs"++++=that
greater ^jjr+atrb+++=greater
subsidies ^nns++++=subsidies
should ^md+nec+++=should
be ^vb+be+aux++=be
provided ^vpsv++agls+xvbnx+=provided
for ^in+ppvb+++=for
vulnerable ^jj+atrb+++=vulnerable
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potentially ^rb++++=potentially
lifelong ^jj++++=lifelong
in ^cs+sub+++=in
that ^cs"++++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
start ^vb++++=start
at ^rb++++=at
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
Ideally ^rb+cnj+++=Ideally,
, ^zz++++=EXTRAWORD
Cdas ^np+++??+=CDAs
should ^md+nec+++=should
be ^vb+be+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered
through ^in++++=through
an ^at++++=an
established ^jj+atrb++xvbn+=established
and ^cc+phrs+++=and
efficient ^jj+atrb+++=efficient
account ^nn++++=account
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
( ^zz++++=(In
in ^in++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
state ^nn++++=state
529 ^cd++++=529
college ^nn++++=college
savings ^nns++++=savings
plans ^nns++++=plans
offer ^nn++++=offer
such ^abl++++=such
a ^at++++=a
structure ^nn++++=structure.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
As ^cs+sub+++=As
designed ^vbd+++xvbn+=designed,
, ^zz++++=EXTRAWORD
Cdas ^np+++??+=CDAs
build ^nn++++=build
assets ^nns++++=assets
through ^in++++=through
contributions ^nns+nom+++=contributions
from ^in++++=from
the ^ati++++=the
public ^nn++++=public
and ^cc++++=and
nonprofit ^nn+++??+=nonprofit
sectors ^nns++++=sectors,
, ^zz++++=EXTRAWORD
business ^nns+nom+++=business
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
families ^nns++++=families,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
design ^nn++++=design
encourages ^nns+nom+++=encourages
individual ^jj+atrb+++=individual
contributions ^nns+nom+++=contributions
from ^in++++=from
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
Financial ^jj+atrb+++=Financial
subsidies ^nns++++=subsidies
and ^cc++++=and
incentives ^nns++++=incentives
from ^in++++=from
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
businesses ^nns+nom+++=businesses
can ^md+pos+++=can
be ^vb+be+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered
through ^in++++=through
various ^jj+atrb+++=various
mechanisms ^nns+nom+++=mechanisms,
, ^zz++++=EXTRAWORD
including ^in++++=including
initial ^jj+atrb+++=initial
deposits ^nns++++=deposits
at ^in++++=at
the ^ati++++=the
Cda ^np+++??+=CDA
opening ^vwbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
milestone ^nn++++=milestone
deposits ^nns++++=deposits
for ^in++++=for
children ^nns++++=children's
's ^$++++=EXTRAWORD
birthdays ^nns++++=birthdays
and ^cc++++=and
achievements ^nns+nom+++=achievements,
, ^zz++++=EXTRAWORD
savings ^nns++++=savings
matches ^nns++++=matches
for ^in++++=for
family ^nn++++=family
deposits ^nns++++=deposits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tax ^nn++++=tax
exemptions ^nns+nom+++=exemptions
for ^in++++=for
earnings ^nns++++=earnings.
. ^zz++++=EXTRAWORD
investment ^nn+nom+++=Investment
growth ^nn++++=growth
builds ^vbz++++=builds
assets ^nns++++=assets
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
