Progress ^nns+nom+++=Progress
reports ^nns++++=reports
and ^cc++++=and
notifications ^nns+nom+++=notifications
of ^in++++=of
serious ^jj+atrb+++=serious
unexpected ^jj+atrb+++=unexpected
adverse ^jj+atrb+++=adverse
drug ^nn++++=drug
reactions ^nns+nom+++=reactions
were ^vbd+bed+aux++=were
provided ^vpsv++agls+xvbnx+=provided
to ^in++++=to
the ^ati++++=the
Irb ^np+++??+=IRB/independent
ethics ^nn++++=ethics
committee ^nn+nom+++=committee
and ^cc++++=and
regulatory ^nn++++=regulatory
authority ^nn+nom+++=authority
according ^in++++=according
to ^in++++=to
local ^jj+atrb+++=local
regulations ^nns+nom+++=regulations
and ^cc++++=and
guidelines ^nns++++=guidelines.
. ^zz++++=EXTRAWORD
