Our ^pp$+pp1+++=Our
economic ^jj+atrb+++=economic
calculations ^nns+nom+++=calculations
have ^vb+hv+vrb++=have
a ^at++++=a
restricted ^jj+atrb++xvbn+=restricted
scope ^nn++++=scope.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cost ^nn++++=cost
of ^in++++=of
implementing ^xvbg+++xvbg+=implementing
each ^dt++++=each
transmission ^nn++++=transmission
and ^cc++++=and
vaccination ^nn+nom+++=vaccination
scenario ^nn++++=scenario
is ^vbz+bez+aux++=is
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
an ^at++++=an
Indian ^jj+atrb+++=Indian
health ^nn++++=health
sector ^nn++++=sector
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
includes ^nn++++=includes
costs ^nns++++=costs
to ^in++++=to
both ^abx++++=both
government ^nn+nom+++=government
and ^cc++++=and
patients ^nns++++=patients
( ^zz++++=(including
including ^in++++=EXTRAWORD
vaccine ^nn++++=vaccine
and ^cc++++=and
hospitalization ^nn+nom+++=hospitalization
costs ^nns++++=costs)
) ^zz++++=EXTRAWORD
but ^cc++++=but
excludes ^nns+++??+=excludes
the ^ati++++=the
patient ^nn++++=patient
salary ^nn++++=salary
loss ^nn++++=loss
during ^in++++=during
hospitalization ^nn+nom+++=hospitalization
and ^cc++++=and
indirect ^jj+atrb+++=indirect
costs ^nns++++=costs
( ^zz++++=(including
including ^in++++=EXTRAWORD
costs ^nns++++=costs
to ^in++++=to
other ^ap++++=other
household ^nn++++=household
members ^nns+nom+++=members
and ^cc++++=and
the ^ati++++=the
employers ^nns+nom+++=employers).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
quantify ^vbi++++=quantify
public ^jj+atrb+++=public
health ^nn++++=health
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
economic ^jj+atrb+++=economic
benefits ^nns++++=benefits
of ^in++++=of
averting ^xvbg+++xvbg+=averting
mortality ^nn+nom+++=mortality
and ^cc++++=and
the ^ati++++=the
cost ^nn++++=cost
savings ^nns++++=savings
of ^in++++=of
averting ^xvbg+++xvbg+=averting
hospital ^npl+nom+++=hospital
admissions ^nns++++=admissions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
consider ^nn+nom+++=consider
the ^ati++++=the
prevention ^nn+nom+++=prevention
of ^in++++=of
non ^&fw++++=non-fatal
- ^zz++++=EXTRAWORD
fatal ^jj+atrb+++=EXTRAWORD
morbidity ^nn+nom+++=morbidity
caused ^vwbn+++xvbn+=caused
by ^in++++=by
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn+nom+++=infection
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+vrb++=be
substantial ^jj+pred+++=substantial)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
indirect ^jj+atrb+++=indirect
health ^nn++++=health
and ^cc++++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
consequences ^nns+nom+++=consequences
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assessed ^vbd+++xvbn+=assessed
vaccination ^nn+nom+++=vaccination
strategies ^nns+++??+=strategies
across ^in+pl+++=across
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
reproduction ^nn+nom+++=reproduction
numbers ^nns+nom+++=numbers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
direct ^jj+atrb+++=direct
or ^cc+phrs+++=or
indirect ^jj+atrb+++=indirect
costs ^nns++++=costs
of ^in++++=of
the ^ati++++=the
non ^&fw++++=non-pharmacological
- ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=EXTRAWORD
interventions ^nns+nom+++=interventions
enacted ^vwbn+++xvbn+=enacted
to ^in++++=to
slow ^jj+atrb+++=slow
transmission ^nn++++=transmission
in ^in++++=in
the ^ati++++=the
milder ^jjr+atrb+++=milder
scenarios ^nns++++=scenarios.
. ^zz++++=EXTRAWORD
