Whittaker ^nn+nom+++=Whittaker
and ^cc++++=and
colleagues ^nns++++=colleagues
( ^zz++++=(
75 ^cd++++=75
) ^zz++++=),
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
review ^nn++++=review
of ^in++++=of
mcessation ^nn+nom+++=mCessation
interventions ^nns+nom+++=interventions,
, ^zz++++=EXTRAWORD
described ^jj+atrb++xvbn+=described
mhealth ^nn+++??+=mHealth
as ^ql++++=as
increasingly ^rb++++=increasingly
useful ^jj++++=useful
in ^in++++=in
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
health ^nn++++=health
information ^nn+nom+++=information
and ^cc++++=and
delivery ^nn+nom+++=delivery
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
globally ^rb+cnj+++=globally,
, ^zz++++=EXTRAWORD
predicting ^vbg+++xvbg+=predicting
a ^at++++=a
continued ^jj+atrb++xvbn+=continued
upward ^jjb+atrb+++=upward
trend ^nn++++=trend
in ^in++++=in
the ^ati++++=the
future ^jjb+atrb+++=future
application ^nn+nom+++=application
of ^in++++=of
mobile ^jj+atrb+++=mobile
phone ^nn++++=phone
based ^vwbn+++xvbn+=based
support ^nn++++=support.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
note ^vb++++=note
that ^tht+vcmp+obj++=that
the ^ati++++=the
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
reassuring ^jj+++xvbg+=reassuring
for ^in++++=for
interventions ^nns+nom+++=interventions
delivered ^vwbn+++xvbn+=delivered
in ^in++++=in
Hics ^np+++??+=HICs,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
less ^rbr++++=less
apparent ^jj+pred+++=apparent
for ^in++++=for
Lmics ^np+++??+=LMICs.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
potential ^jj+atrb+++=potential
value ^nn++++=value
added ^vwbn+vpub++xvbn+=added
by ^in++++=by
mhealth ^nn+++??+=mHealth
in ^in++++=in
low ^jj++++=low-resource
- ^zz++++=EXTRAWORD
resource ^nn++++=EXTRAWORD
settings ^nns++++=settings
is ^vbz+bez+vrb++=is
considerable ^jj+pred+++=considerable,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
reminders ^nns+nom+++=reminders
for ^in++++=for
medication ^nn+nom+++=medication
adherence ^nn+nom+++=adherence
and ^cc++++=and
messages ^nns+nom+++=messages
for ^in++++=for
behavior ^nn++++=behavior
change ^nn++++=change,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evidence ^nn+nom+++=evidence
of ^in++++=of
impact ^nn++++=impact
in ^in++++=in
Lmics ^np+++??+=LMICs
to ^in++++=to
date ^nn++++=date
relies ^nns++++=relies
on ^in++++=on
hypothesized ^vbd+++xvbn+=hypothesized
benefits ^nns++++=benefits
of ^in++++=of
scaled ^vprf+++xvbn+=scaled-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
delivery ^nn+nom+++=delivery.
. ^zz++++=EXTRAWORD
A ^at++++=A
deeper ^jjr++++=deeper
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
adaptation ^nn+nom+++=adaptation,
, ^zz++++=EXTRAWORD
implementation ^nn+nom+++=implementation,
, ^zz++++=EXTRAWORD
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ethical ^jj+atrb+++=ethical
considerations ^nns+nom+++=considerations
is ^vbz+bez+aux++=is
emerging ^vbg+++xvbgx+=emerging
( ^zz++++=(
45 ^cd++++=45
, ^zz++++=,
53 ^cd++++=53
) ^zz++++=).
. ^zz++++=EXTRAWORD
mhealth ^nn+++??+=mHealth
initiatives ^nns++++=initiatives
delivered ^vwbn+++xvbn+=delivered
within ^in++++=within
settings ^nns++++=settings
where ^wrb+who+++=where
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
fewer ^ap++++=fewer
resources ^nns++++=resources
face ^vb++++=face
a ^at++++=a
myriad ^nn++++=myriad
of ^in++++=of
additional ^nn++++=additional
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
technical ^jj+atrb+++=technical
capacity ^nn+nom+++=capacity;
; ^zz++++=EXTRAWORD
short ^jj++++=short-term,
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
donor ^nn++++=donor-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
funding ^jj+++xvbg+=funding;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lack ^nn++++=lack
of ^in++++=of
local ^jj+atrb+++=local
investment ^nn+nom+++=investment.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not
addressed ^vbd+++xvbn+=addressed
from ^in++++=from
the ^ati++++=the
concept ^nn++++=concept
development ^nn+nom+++=development
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
challenges ^vbz++++=challenges
can ^md+pos+++=can
undermine ^vb++++=undermine
the ^ati++++=the
potential ^jj+atrb+++=potential
benefits ^nns++++=benefits.
. ^zz++++=EXTRAWORD
In ^in++++=In
Lmics ^np+++??+=LMICs
where ^wrb+who+++=where
health ^nn++++=health
systems ^nns++++=systems
are ^vb+ber+vrb++=are
under ^in++++=under-resourced
- ^zz++++=EXTRAWORD
resourced ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
beholden ^jj+++xvbn+=beholden
to ^in++++=to
unsustainable ^jj+atrb+++=unsustainable
financing ^jj+atrb++xvbg+=financing
mechanisms ^nns+nom+++=mechanisms,
, ^zz++++=EXTRAWORD
equity ^nn++++=equity
of ^in++++=of
access ^nn++++=access
to ^in++++=to
mhealth ^nn+++??+=mHealth
must ^md+nec+++=must
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
