Although ^cs+con+++=Although
an ^at++++=an
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
Secpc ^np+++??+=SECPC
is ^vbz+bez+vrb++=is
a ^at++++=a
key ^jjb+atrb+++=key
principle ^nn++++=principle
in ^in++++=in
Is ^vbz+bez+vrb++=IS
( ^zz++++=(
96 ^cd++++=96
) ^zz++++=),
, ^zz++++=EXTRAWORD
theories ^nns++++=theories,
, ^zz++++=EXTRAWORD
models ^nns++++=models
and ^cc++++=and
frameworks ^nns++++=frameworks
used ^vwbn+++xvbn+=used
in ^in++++=in
implementation ^nn+nom+++=implementation
science ^nn+nom+++=science
( ^zz++++=(
90 ^cd++++=90
) ^zz++++=)
had ^vb+hv+aux++=had
not ^xnot++not++=not
directly ^rb++++=directly
taken ^vbd+++xvbn+=taken
on ^rb+phrv+++=on
health ^nn++++=health
equity ^nn++++=equity.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
Is ^vbz+bez+aux++=IS
has ^vbz+hvz+aux++=has
embraced ^vprf+++xvbnx+=embraced
the ^ati++++=the
call ^nn++++=call
to ^in++++=to
advance ^nn+nom+++=advance
health ^nn++++=health
equity ^nn++++=equity.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
authors ^nns++++=authors
provide ^vb+vsua+++=provide
guidance ^nn+nom+++=guidance
for ^in++++=for
centering ^xvbg+++xvbg+=centering
health ^nn++++=health
equity ^nn++++=equity
in ^in++++=in
Is ^vbz+bez+vrb++=IS
( ^zz++++=(
8 ^zz++++=8
, ^zz++++=,
14 ^cd++++=14
, ^zz++++=,
22 ^cd++++=22
, ^zz++++=,
39 ^cd++++=39
, ^zz++++=,
80 ^cd++++=80
, ^zz++++=,
111 ^cd++++=111
, ^zz++++=,
112 ^cd++++=112
) ^zz++++=).
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
these ^dt+dem+++=these
authors ^nns++++=authors
recognize ^vb+vprv+++=recognize
that ^tht+vcmp+++=that
achieving ^vbg+++xvbg+=achieving
health ^nn++++=health
equity ^nn++++=equity
goals ^nns++++=goals
will ^md+prd+++=will
require ^vb+vsua+++=require
Is ^vbz+bez+vrb++=IS
researchers ^nns+nom+++=researchers
to ^to++++=to
sit ^vbi++++=sit
with ^in++++=with
discomfort ^nn++++=discomfort
in ^in++++=in
applying ^xvbg+++xvbg+=applying
methods ^nns++++=methods
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
less ^rbr++++=less
reductionist ^jj+pred+++=reductionist
and ^cc++++=and
embrace ^vb++++=embrace
the ^ati++++=the
messiness ^nns+nom+++=messiness
and ^cc++++=and
complexity ^nn+nom+++=complexity
of ^in++++=of
health ^nn++++=health
equity ^nn++++=equity
models ^nns++++=models
that ^tht+rel+++=that
center ^jjr++++=center
the ^ati++++=the
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
economic ^jj++++=economic,
, ^zz++++=EXTRAWORD
political ^jj++++=political,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
forces ^nns++++=forces
that ^tht+rel+obj++=that
impact ^nn++++=impact
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
( ^zz++++=(
8 ^zz++++=8
, ^zz++++=,
14 ^cd++++=14
) ^zz++++=).
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
these ^dt+pdem+++=these
Is ^vbz+bez+vrb++=IS
health ^nn++++=health
equity ^nn++++=equity
guidance ^nn+nom+++=guidance
documents ^nns+nom+++=documents
or ^cc++++=or
frameworks ^nns++++=frameworks
specifically ^rb++++=specifically
call ^vb++++=call
out ^rp+pl+++=out
rural ^jj+atrb+++=rural
disparities ^nns+nom+++=disparities
or ^cc++++=or
apply ^vb++++=apply
an ^at++++=an
intersectional ^jj+atrb+++=intersectional
lens ^nn++++=lens.
. ^zz++++=EXTRAWORD
