Increased ^vbd+++xvbn+=Increased
engagement ^nn+nom+++=engagement
of ^in++++=of
researchers ^nns+nom+++=researchers
with ^in++++=with
policy ^nn++++=policy
makers ^nns++++=makers
and ^cc++++=and
communities ^nns+nom+++=communities
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
maximize ^vbi++++=maximize
impact ^nn++++=impact
on ^in++++=on
decision ^nn++++=decision
making ^vwbg+++xvbg+=making
( ^zz++++=(
72 ^cd++++=72
) ^zz++++=).
. ^zz++++=EXTRAWORD
Guidance ^nn+nom+++=Guidance
and ^cc++++=and
training ^nn++++=training
for ^in++++=for
non ^&fw++++=non
health ^nn++++=health
policy ^nn++++=policy
makers ^nns++++=makers
on ^in++++=on
health ^nn++++=health
cobenefits ^nns+++??+=cobenefits
may ^md+pos+++=may
generate ^nn+nom+++=generate
fruitful ^jj+atrb+++=fruitful
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
To ^to++++=To
strengthen ^vbi++++=strengthen
the ^ati++++=the
institutional ^jj+atrb+++=institutional
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
do ^vbi++++=do
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
Huang ^np+++??+=Huang
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
36 ^cd++++=36
) ^zz++++=)
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
a ^at++++=a
lead ^nn++++=lead
agency ^nn++++=agency
should ^md+nec+++=should
coordinate ^nn+nom+++=coordinate
multiple ^jj+atrb+++=multiple
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
public ^jj+atrb+++=public
health ^nn++++=health
research ^nn++++=research
community ^nn+nom+++=community
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
to ^to++++=to
develop ^vbi++++=develop
targeted ^jj+atrb++xvbn+=targeted
communications ^nns+nom+++=communications
products ^nns++++=products
for ^in++++=for
politicians ^nns++++=politicians.
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
also ^rb++++=also
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
policy ^nn++++=policy
makers ^nns++++=makers
use ^nn++++=use
and ^cc++++=and
deploy ^jj+atrb++??+=deploy
evidence ^nn+nom+++=evidence
in ^in++++=in
their ^pp$+pp3+++=their
decision ^nn++++=decision
making ^vwbg+++xvbg+=making
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
to ^to++++=to
produce ^vbi++++=produce
policy ^nn++++=policy-relevant
- ^zz++++=EXTRAWORD
relevant ^jj+atrb+++=EXTRAWORD
research ^nn++++=research.
. ^zz++++=EXTRAWORD
