Regardless ^rb++++=Regardless
of ^in++++=of
how ^wrb+who+++=how
step ^nn++++=step
intensity ^nn+nom+++=intensity
was ^vbd+bedz+aux++=was
defined ^vpsv++agls+xvbnx+=defined,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
slow ^jj++++=slow
walking ^jj+++xvbg+=walking
or ^cc+phrs+++=or
moderate ^jj++++=moderate
to ^in++++=to
vigorous ^jj+atrb+++=vigorous
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lower ^nn++++=lower
risk ^vb++++=risk
of ^in++++=of
chronic ^jj+atrb+++=chronic
diseases ^nns++++=diseases
( ^zz++++=(all
all ^abn++++=EXTRAWORD
chunk ^nn+++??+=chunk
tests ^nns++++=tests
P ^zz++++=P
< ^zz++++=<
0.05 ^nn+++??+=0.05,
, ^zz++++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
5 ^zz++++=5
and ^cc++++=and
Extended ^jj+atrb++xvbn+=Extended
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
10 ^cd++++=10
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
Hr ^nnu++++=HR
for ^in++++=for
step ^nn++++=step
intensity ^nn+nom+++=intensity
for ^in++++=for
incident ^nn++++=incident
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
Gerd ^np+++??+=GERD,
, ^zz++++=EXTRAWORD
Mdd ^np+++??+=MDD,
, ^zz++++=EXTRAWORD
obesity ^nn+nom+++=obesity
and ^cc++++=and
sleep ^nn++++=sleep
apnea ^nn+++??+=apnea
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
0.43 ^nn+++??+=0.43
to ^in++++=to
0.88 ^nn+++??+=0.88
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
Step ^vb++++=Step
intensity ^nn+nom+++=intensity
( ^zz++++=(defined
defined ^vbn+vprv++xvbn+=EXTRAWORD
as ^ql++++=as
slow ^jj++++=slow
walking ^jj+++xvbg+=walking)
) ^zz++++=EXTRAWORD
also ^rb++++=also
remained ^vbd+++xvbn+=remained
significantly ^rb++++=significantly
associated ^vbd+++xvbn+=associated
with ^in++++=with
obesity ^nn+nom+++=obesity,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
apnea ^nn+++??+=apnea,
, ^zz++++=EXTRAWORD
Mdd ^np+++??+=MDD,
, ^zz++++=EXTRAWORD
Gerd ^np+++??+=GERD
and ^cc++++=and
hypertension ^nn+++??+=hypertension
after ^cs+sub+++=after
adjusting ^nn++++=adjusting
for ^in++++=for
step ^nn++++=step
count ^vb++++=count
( ^zz++++=(all
all ^abn++++=EXTRAWORD
chunk ^nn+++??+=chunk
tests ^nns++++=tests
P ^zz++++=P
< ^zz++++=<
0.05 ^nn+++??+=0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
defined ^vbn+vprv++xvbn+=defined
using ^vbg+++xvbg+=using
a ^at++++=a
moderate ^jj++++=moderate
to ^in++++=to
vigorous ^jj+atrb+++=vigorous
intensity ^nn+nom+++=intensity,
, ^zz++++=EXTRAWORD
bout ^nn++++=bout
cadence ^nn+nom+++=cadence
remained ^vbd+++xvbn+=remained
significantly ^rb++++=significantly
associated ^vbd+++xvbn+=associated
with ^in++++=with
obesity ^nn+nom+++=obesity,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
apnea ^nn+++??+=apnea
and ^cc++++=and
Gerd ^np+++??+=GERD
( ^zz++++=(all
all ^abn++++=EXTRAWORD
chunk ^nn+++??+=chunk
tests ^nns++++=tests
p ^zz++++=P
< ^zz++++=<
0.05 ^nn++++=0.05;
; ^zz++++=EXTRAWORD
supplementary ^jj+atrb+++=Supplementary
table ^nn++++=Table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
