Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
an ^at++++=an
experimental ^jj+atrb+++=experimental
Aso ^np+++??+=ASO
that ^tht+rel+obj++=that
targets ^nns++++=targets
the ^ati++++=the
Fus ^np+++??+=FUS
transcript ^nn++++=transcript
( ^zz++++=(ION363)
ion363 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
effectively ^rb++++=effectively
silences ^nns+nom+++=silences
wild ^jj++++=wild-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
and ^cc++++=and
mutant ^jj+atrb+++=mutant
Fus ^np+++??+=FUS
in ^in++++=in
the ^ati++++=the
brain ^nn++++=brain
and ^cc++++=and
spinal ^jj+atrb+++=spinal
cord ^nn++++=cord
of ^in++++=of
P517l ^np+++??+=P517L
and ^cc++++=and
14 ^cd++++=14
heterozygous ^jj+atrb+++=heterozygous
mice ^nns++++=mice.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
our ^pp$+pp1+++=our
model ^nn++++=model
of ^in++++=of
a ^at++++=a
dose ^nn++++=dose-dependent,
- ^zz++++=EXTRAWORD
dependent ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gain ^vb++++=gain-of-function
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
function ^nn+nom+++=EXTRAWORD
mechanism ^nn+nom+++=mechanism
of ^in++++=of
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
a ^at++++=a
single ^jj+atrb+++=single
intracerebroventricular ^nn+++??+=intracerebroventricular
( ^zz++++=(ICV)
icv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
injection ^nn+nom+++=injection
of ^in++++=of
this ^dt+dem+++=this
Fus ^np+++??+=FUS
Aso ^np+++??+=ASO
delays ^nns++++=delays
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
Mn ^np+++??+=MN
degeneration ^nn+nom+++=degeneration
in ^in++++=in
a ^at++++=a
conditional ^jj+atrb+++=conditional
compound ^jj+atrb+++=compound
heterozygous ^jj+atrb+++=heterozygous
mutant ^nn++++=mutant
Fus ^np+++??+=FUS
mouse ^nn++++=mouse
with ^in++++=with
an ^at++++=an
accelerated ^jj+++xvbn+=accelerated,
, ^zz++++=EXTRAWORD
Als ^&fw++++=ALS-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
phenotype ^nn+++??+=phenotype.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
first ^od++++=first-in-human
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv+tht0+xvbn+=found
that ^tht+vcmp+++=that
repeated ^vbd+++xvbn+=repeated
intrathecal ^jj++++=intrathecal
( ^zz++++=(IT)
it ^pp3+it+++=EXTRAWORD
) ^zz++++=EXTRAWORD
administration ^nn+nom+++=administration
of ^in++++=of
Ion363 ^np+++??+=ION363
in ^in++++=in
a ^at++++=a
patient ^nn++++=patient
with ^in++++=with
Als ^&fw++++=ALS-FUS
- ^zz++++=EXTRAWORD
fus ^nns+++??+=EXTRAWORD
with ^in++++=with
a ^at++++=a
Fus ^np+++??+=FUS
mutation ^nn+nom+++=mutation
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
marked ^jj+atrb++xvbn+=marked
suppression ^nn++++=suppression
of ^in++++=of
Fus ^np+++??+=FUS
expression ^nn++++=expression
in ^in++++=in
the ^ati++++=the
brain ^nn++++=brain
and ^cc++++=and
spinal ^jj+atrb+++=spinal
cord ^nn++++=cord
and ^cc++++=and
the ^ati++++=the
reduction ^nn+nom+++=reduction
of ^in++++=of
the ^ati++++=the
Fus ^np+++??+=FUS
aggregates ^nns+nom+++=aggregates
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
the ^ati++++=the
pathological ^jj+atrb+++=pathological
hallmark ^nn++++=hallmark
of ^in++++=of
this ^dt+dem+++=this
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
provide ^vb+vsua+++=provide
evidence ^nn+nom+++=evidence
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
clinical ^jj+atrb+++=clinical
application ^nn+nom+++=application
of ^in++++=of
Ion363 ^np+++??+=ION363
in ^in++++=in
the ^ati++++=the
treatment ^nn+nom+++=treatment
of ^in++++=of
Als ^&fw++++=ALS-FUS
 ^zz++++=EXTRAWORD
Fus ^nns++++=EXTRAWORD
And ^cc++++=and
Related ^xvbn+++xvbn+=related
Fus ^np++++=FUS-dependent
 ^zz++++=EXTRAWORD
Dependent ^jj+atrb+++=EXTRAWORD
Proteinopathies ^nns++++=proteinopathies.
 ^zz++++=EXTRAWORD
