Terminating ^np+++??+=Terminating
a ^at++++=a
pregnancy ^nn++++=pregnancy
is ^vbz+bez+vrb++=is
never ^rb++++=never
an ^at++++=an
easy ^jj+atrb+++=easy
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
need ^nn++++=need
for ^in++++=for
an ^at++++=an
abortion ^nn+nom+++=abortion
often ^rb++++=often
reflects ^vbz++++=reflects
limited ^jj+atrb++xvbn+=limited
sexual ^jj+atrb+++=sexual
autonomy ^nn++++=autonomy
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
ineffective ^jj++++=ineffective
or ^cc++++=or
lack ^nn++++=lack
of ^in++++=of
access ^nn++++=access
to ^in++++=to
family ^nn++++=family-planning
- ^zz++++=EXTRAWORD
planning ^nvbg+++xvbg+=EXTRAWORD
and ^cc++++=and
contraceptive ^jj+atrb+++=contraceptive
options ^nns+nom+++=options.
. ^zz++++=EXTRAWORD
An ^at++++=An
abortion ^nn+nom+++=abortion
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
indicated ^vpsv++agls+xvbnx+=indicated
even ^rb++++=even
when ^wrb+who+++=when
a ^at++++=a
pregnancy ^nn++++=pregnancy
is ^vbz+bez+aux++=is
intended ^vpsv++agls+xvbnx+=intended.
. ^zz++++=EXTRAWORD
To ^to++++=To
carry ^vbi++++=carry
a ^at++++=a
pregnancy ^nn++++=pregnancy
to ^in++++=to
term ^nn++++=term
has ^vbz+hvz+vrb++=has
profound ^jj+atrb+++=profound
implications ^nns+nom+++=implications
on ^in++++=on
the ^ati++++=the
health ^nn++++=health,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
through ^in++++=through
gestation ^nn+nom+++=gestation
and ^cc++++=and
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
relevant ^jj++++=relevant,
, ^zz++++=EXTRAWORD
on ^rp++++=on
her ^pp3o+pp3+++=her
partner ^nn++++=partner
and ^cc++++=and
other ^ap++++=other
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
By ^in++++=By
right ^nn++++=right,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
decision ^nn++++=decision
must ^md+nec+++=must
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
and ^cc+phrs+++=and
owned ^vpsv++by+xvbn+=owned
by ^in++++=by
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
control ^nn++++=control
and ^cc++++=and
agency ^nn++++=agency
over ^rp++++=over
her ^pp3o+pp3+++=her
body ^nn++++=body
and ^cc++++=and
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Abortion ^nn+nom+++=Abortion
is ^vbz+bez+aux++=is
protected ^vpsv++agls+xvbnx+=protected
under ^in++++=under
the ^ati++++=the
rights ^nns++++=rights
to ^in++++=to
life ^nn++++=life;
; ^zz++++=EXTRAWORD
liberty ^nn++++=liberty;
; ^zz++++=EXTRAWORD
privacy ^nn+nom+++=privacy;
; ^zz++++=EXTRAWORD
equality ^nn+nom+++=equality
and ^cc++++=and
nondiscrimination ^nn+nom+++=nondiscrimination;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
freedom ^nn+nom+++=freedom
from ^in++++=from
cruel ^jj++++=cruel,
, ^zz++++=EXTRAWORD
inhuman ^jj++++=inhuman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
degrading ^jj+atrb++xvbg+=degrading
treatment ^nn+nom+++=treatment
( ^zz++++=(
2 ^zz++++=2
, ^zz++++=,
13 ^cd++++=13
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
reproductive ^jj+atrb+++=reproductive
choices ^nns++++=choices
continue ^vb++++=continue
to ^to++++=to
be ^vbi+vbi+aux++=be
contested ^vpsv++agls+xvbnx+=contested
in ^in++++=in
many ^ap++++=many
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
with ^in++++=with
vested ^jj+atrb++xvbn+=vested
interests ^nns++++=interests
from ^in++++=from
politically ^rb++++=politically
and ^cc++++=and
religiously ^jj+atrb+++=religiously
conservative ^jj+atrb+++=conservative
states ^nns++++=states,
, ^zz++++=EXTRAWORD
patriarchal ^jj+atrb+++=patriarchal
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cultural ^jj+atrb+++=cultural
mores ^nns+++??+=mores
playing ^vwbg+++xvbg+=playing
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
contestation ^nn+nom+++=contestation
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
complicated ^vpsv++by+xvbn+=complicated
by ^in++++=by
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
powerful ^jj+atrb+++=powerful
politicians ^nns++++=politicians,
, ^zz++++=EXTRAWORD
health ^nn++++=health
officials ^nns+nom+++=officials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
religious ^jj+atrb+++=religious
and ^cc+phrs+++=and
autocratic ^jj+atrb+++=autocratic
leaders ^nns+nom+++=leaders
( ^zz++++=(
7 ^zz++++=7
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
policies ^nns++++=policies
that ^tht+rel+obj++=that
result ^nn++++=result
from ^in++++=from
these ^dt+dem+++=these
different ^jj+atrb+++=different
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
including ^in++++=including
criminalization ^nn+nom+++=criminalization,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
an ^at++++=an
impact ^nn++++=impact
on ^in++++=on
access ^nn++++=access
to ^in++++=to
safe ^jj++++=safe,
, ^zz++++=EXTRAWORD
affordable ^jj++++=affordable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respectful ^jj+atrb+++=respectful
reproductive ^jj+atrb+++=reproductive
health ^nn++++=health
services ^nns++++=services.
. ^zz++++=EXTRAWORD
