Gender ^nn++++=Gender-biased
- ^zz++++=EXTRAWORD
biased ^vwbn+++xvbn+=EXTRAWORD
sex ^nn++++=sex
selection ^nn+nom+++=selection
and ^cc++++=and
selective ^jj+atrb+++=selective
abortion ^nn+nom+++=abortion
of ^in++++=of
female ^nn++++=female
fetuses ^nns+++??+=fetuses
are ^vb+ber+vrb++=are
major ^jj+atrb+++=major
gender ^nn++++=gender
issues ^nns++++=issues
in ^in++++=in
India ^np++++=India
and ^cc++++=and
significant ^jj+atrb+++=significant
complicating ^jj+atrb++xvbg+=complicating
factors ^nns++++=factors
in ^in++++=in
the ^ati++++=the
negotiation ^nn+nom+++=negotiation
for ^in++++=for
abortion ^nn+nom+++=abortion
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
Feminist ^np+nom++??+=Feminist
groups ^nns++++=groups
successfully ^rb++++=successfully
advocated ^vbd+vsua++xvbn+=advocated
for ^in++++=for
national ^jj+atrb+++=national
legislation ^nn+nom+++=legislation,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Pre ^np+++??+=Pre-Conception
- ^zz++++=EXTRAWORD
conception ^nn+nom+++=EXTRAWORD
and ^cc++++=and
Pre ^np+++??+=Pre-Natal
- ^zz++++=EXTRAWORD
natal ^np++++=EXTRAWORD
Diagnostics ^np+++??+=Diagnostics
Techniques ^nns++++=Techniques
( ^zz++++=(Prohibition
prohibition ^nn+nom+++=EXTRAWORD
of ^in++++=of
Sex ^nn++++=Sex
Determination ^nn+nom+++=Determination)
) ^zz++++=EXTRAWORD
( ^zz++++=(PCPNDT)
pcpndt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Act ^nn++++=Act,
, ^zz++++=EXTRAWORD
to ^to++++=to
prevent ^vbi++++=prevent
the ^ati++++=the
misuse ^nn++++=misuse
of ^in++++=of
prenatal ^jj+atrb+++=prenatal
diagnostic ^jj+atrb+++=diagnostic
tests ^nns++++=tests
for ^in++++=for
sex ^nn++++=sex
detection ^nn+nom+++=detection
( ^zz++++=(
9 ^zz++++=9
) ^zz++++=).
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
legislation ^nn+nom+++=legislation
includes ^vb++++=includes
punitive ^jj+atrb+++=punitive
action ^nn++++=action
only ^rb+down+++=only
for ^in++++=for
providers ^nns+nom+++=providers
who ^whp+rel+subj++=who
engage ^vb++++=engage
in ^in++++=in
sex ^nn++++=sex
detection ^nn+nom+++=detection,
, ^zz++++=EXTRAWORD
in ^in++++=in
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
abortion ^nn+nom+++=abortion
providers ^nns+nom+++=providers,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
may ^md+pos+++=may
or ^cc++++=or
may ^md+pos+++=may
not ^xnot++not++=not
know ^vb+vprv+++=know
of ^in++++=of
the ^ati++++=the
sex ^nn++++=sex
selection ^nn+nom+++=selection
motive ^nn++++=motive,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
also ^rb++++=also
subject ^nn++++=subject
to ^in++++=to
legal ^jj+atrb+++=legal
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
sex ^nn++++=sex
detection ^nn+nom+++=detection
using ^vwbg+++xvbg+=using
ultrasonography ^nn+++??+=ultrasonography
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
second ^od++++=second
trimester ^nn+nom+++=trimester,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
major ^jj+atrb+++=major
consequences ^nns+nom+++=consequences
of ^in++++=of
this ^dt+dem+++=this
law ^nn++++=law
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
near ^jj+atrb+++=near
nonavailability ^nn+nom+++=nonavailability
of ^in++++=of
second ^od++++=second-trimester
- ^zz++++=EXTRAWORD
trimester ^nn+nom+++=EXTRAWORD
abortion ^nn+nom+++=abortion
owing ^in+cmpx+++=owing
to ^in++++=to
providers ^nns+nom+++=providers
fear ^nn++++=fear
of ^in++++=of
legal ^jj+atrb+++=legal
action ^nn++++=action
( ^zz++++=(
26 ^cd++++=26
) ^zz++++=).
. ^zz++++=EXTRAWORD
