Within ^in++++=Within
the ^ati++++=the
segment ^nn+nom+++=segment
of ^in++++=of
the ^ati++++=the
Rr ^np+++??+=RR
curve ^nn++++=curve
over ^in++++=over
the ^ati++++=the
exposure ^nn++++=exposure
range ^nn++++=range
107.5 ^cd++++=107.5
165.0 ^cd++++=165.0
mm ^nnu++++=mm
Hg ^&fo++++=Hg,
, ^zz++++=EXTRAWORD
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
Sbp ^np+++??+=SBP
and ^cc++++=and
Ihd ^np+++??+=IHD
was ^vbd+bedz+vrb++=was
approximately ^rb+down+++=approximately
log ^&fo++++=log-linear.
- ^zz++++=EXTRAWORD
linear ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
mean ^nn++++=mean
risk ^vb++++=risk
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
mean ^jj+atrb+++=mean
Rr ^np+++??+=RR
estimates ^nns+nom+++=estimates
for ^in++++=for
Sbp ^np+++??+=SBP
levels ^nns++++=levels
of ^in++++=of
110 ^cd++++=110,
, ^zz++++=EXTRAWORD
115 ^cd++++=115,
, ^zz++++=EXTRAWORD
120 ^cd++++=120,
, ^zz++++=EXTRAWORD
130 ^cd++++=130,
, ^zz++++=EXTRAWORD
140 ^cd++++=140,
, ^zz++++=EXTRAWORD
150 ^cd++++=150
and ^cc++++=and
165 ^cd++++=165
mm ^nnu++++=mm
Hg ^&fo++++=Hg
were ^vbd+bed+vrb++=were
1.12 ^cd++++=1.12
( ^zz++++=(1.10
1.10 ^cd++++=EXTRAWORD
1.13 ^cd++++=1.13),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1.23 ^cd++++=1.23
( ^zz++++=(1.20
1.20 ^cd++++=EXTRAWORD
1.27 ^cd++++=1.27),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1.39 ^cd++++=1.39
( ^zz++++=(1.34
1.34 ^cd++++=EXTRAWORD
1.44 ^cd++++=1.44),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1.81 ^cd++++=1.81
( ^zz++++=(1.70
1.70 ^cd++++=EXTRAWORD
1.93 ^cd++++=1.93),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2.38 ^cd++++=2.38
( ^zz++++=(2.17
2.17 ^cd++++=EXTRAWORD
2.62 ^cd++++=2.62),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
3.11 ^cd++++=3.11
( ^zz++++=(2.75
2.75 ^cd++++=EXTRAWORD
3.52 ^cd++++=3.52)
) ^zz++++=EXTRAWORD
and ^cc++++=and
4.48 ^cd++++=4.48
( ^zz++++=(3.81
3.81 ^cd++++=EXTRAWORD
5.26 ^cd++++=5.26)
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^to++++=to
100 ^cd++++=100
mm ^nnu++++=mm
hg ^&fo++++=Hg,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
table ^nn++++=Table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
