Five ^cd++++=Five-micron
- ^zz++++=EXTRAWORD
micron ^nn+++??+=EXTRAWORD
tissue ^nn++++=tissue
sections ^nns+nom+++=sections
were ^vbd+bed+aux++=were
deparaffinized ^vpsv++agls+xvbnx+=deparaffinized
in ^in++++=in
xylene ^nn+++??+=xylene
and ^cc++++=and
rehydrated ^vpsv++agls+xvbn+=rehydrated
in ^in++++=in
ethanol ^nn+++??+=ethanol
solutions ^nns+nom+++=solutions
with ^in++++=with
decreasing ^xvbg+++xvbg+=decreasing
concentrations ^nns+nom+++=concentrations.
. ^zz++++=EXTRAWORD
Antigen ^nn++++=Antigen
retrieval ^nn+nom+++=retrieval
was ^vbd+bedz+aux++=was
performed ^vpsv++by+xvbnx+=performed
by ^in++++=by
autoclaving ^xvbg+++xvbg+=autoclaving
the ^ati++++=the
slides ^nns++++=slides
in ^in++++=in
Tris ^np+++??+=Tris-EDTA
- ^zz++++=EXTRAWORD
edta ^nn+++??+=EXTRAWORD
buffer ^nn++++=buffer
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
mm ^nnu++++=mM
Tris ^np+++??+=Tris
ph ^nn++++=pH
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
mm ^nnu++++=mM
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
0.05 ^nn+++??+=0.05%
% ^zz++++=EXTRAWORD
Tween ^np+++??+=Tween
20 ^cd++++=20)
) ^zz++++=EXTRAWORD
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slides ^nns++++=slides
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
washed ^vpsv++agls+xvbnx+=washed
in ^in++++=in
Tbs ^np+++??+=TBS
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
with ^in++++=with
primary ^jj+atrb+++=primary
antibodies ^nns++++=antibodies
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2
) ^zz++++=)
in ^in++++=in
Tbs ^np+++??+=TBS
solution ^nn+nom+++=solution
with ^in++++=with
0.01 ^nn+++??+=0.01%
% ^zz++++=EXTRAWORD
Triton ^np+++??+=Triton
X ^zz++++=X-100
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
and ^cc++++=and
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
normal ^jj+atrb+++=normal
goat ^nn++++=goat
serum ^nn++++=serum
overnight ^jjb++++=overnight
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
slides ^nns++++=slides
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
three ^cd++++=three
times ^nns++++=times
in ^in++++=in
Tbs ^np+++??+=TBS
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
with ^in++++=with
Hrp ^np+++??+=HRP-conjugated
- ^zz++++=EXTRAWORD
conjugated ^jj+atrb++xvbn+=EXTRAWORD
secondary ^jj+atrb+++=secondary
antibodies ^nns++++=antibodies
( ^zz++++=(Supplementary
supplementary ^jj+atrb+++=EXTRAWORD
Table ^nn++++=Table
3 ^zz++++=3
) ^zz++++=).
. ^zz++++=EXTRAWORD
After ^in++++=After
three ^cd++++=three
washes ^nns++++=washes
in ^in++++=in
Tbs ^np+++??+=TBS,
, ^zz++++=EXTRAWORD
the ^ati++++=the
slides ^nns++++=slides
were ^vbd+bed+aux++=were
developed ^vpsv++agls+xvbnx+=developed
with ^in++++=with
Dab ^np+++??+=DAB
Substrate ^nn+nom+++=Substrate
Kit ^nn++++=Kit
( ^zz++++=(Thermo
thermo ^nn+++??+=EXTRAWORD
Fisher ^np++++=Fisher
Scientific ^jj++++=Scientific)
) ^zz++++=EXTRAWORD
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min
and ^cc++++=and
counterstained ^vpsv++agls+xvbn+=counterstained
with ^in++++=with
Mayer ^np+++??+=Mayer
s ^zz++++=s
hematoxylin ^nn+++??+=hematoxylin
for ^in++++=for
2 ^zz++++=2
min ^nnu++++=min.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slides ^nns++++=slides
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
immediately ^rb+tm+++=immediately
rinsed ^xvbn+++xvbn+=rinsed
in ^in++++=in
tap ^nn++++=tap
water ^nn++++=water
for ^in++++=for
5 ^zz++++=5
min ^nnu++++=min,
, ^zz++++=EXTRAWORD
dehydrated ^j+++xvbn+=dehydrated
in ^in++++=in
ethanol ^nn+++??+=ethanol
solutions ^nns+nom+++=solutions
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
concentrations ^nns+nom+++=concentrations
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
xylenes ^nns+++??+=xylenes
and ^cc++++=and
mounted ^vwbn+++xvbn+=mounted
with ^in++++=with
organo ^np++++=Organo/Limonene
mount ^nn++++=Mount
( ^zz++++=(Millipore
millipore ^nn++++=EXTRAWORD
sigma ^np++++=Sigma).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
