Propensity ^np+nom++??+=Propensity
score ^nn++++=score
matching ^vwbg+++xvbg+=matching
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
identify ^vb++++=identify
cases ^nns++++=cases
( ^zz++++=(with
with ^in++++=EXTRAWORD
self ^nn++++=self-harm)
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
controls ^nns++++=controls
( ^zz++++=(without
without ^in++++=EXTRAWORD
self ^nn++++=self-harm)
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
analyses ^nns++++=analyses
on ^in++++=on
cause ^nn++++=cause-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
mortality ^nn+nom+++=mortality
risk ^vb++++=risk
following ^jj+atrb++xvbg+=following
self ^nn++++=self-harm.
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
identified ^vbd+++xvbn+=identified
5,683 ^cd++++=5,683
individuals ^nns+nom+++=individuals
with ^in++++=with
incident ^nn++++=incident
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
episodes ^nns++++=episodes
and ^cc++++=and
18,407 ^cd++++=18,407
matched ^vbd+++xvbn+=matched
controls ^nns++++=controls
( ^zz++++=(Extended
extended ^vbd+++xvbn+=EXTRAWORD
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
Adults ^nns++++=Adults
who ^whp+rel+subj++=who
harmed ^vbd+++xvbn+=harmed
themselves ^ppls+pp3+++=themselves
were ^vbd+bed+vrb++=were
6.8 ^cd++++=6.8
times ^nns++++=times
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
die ^vbi++++=die
of ^in++++=of
unnatural ^jj+atrb+++=unnatural
causes ^nns++++=causes
of ^in++++=of
death ^nn++++=death
than ^in++++=than
controls ^nn++++=controls
within ^in++++=within
12 ^cd++++=12
months ^nns++++=months
of ^in++++=of
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
( ^zz++++=(HR,
hr ^nnu++++=EXTRAWORD
, ^zz++++=EXTRAWORD
6.8 ^cd++++=6.8;
; ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
4.3 ^cd++++=4.3
10.7 ^cd++++=10.7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
risk ^nn++++=risk
of ^in++++=of
unnatural ^jj+atrb+++=unnatural
death ^nn++++=death
after ^cs+sub+++=after
12 ^cd++++=12
months ^nns++++=months
was ^vbd+bedz+vrb++=was
markedly ^rb++++=markedly
lower ^jjr+pred+++=lower
( ^zz++++=(HR,
hr ^nnu++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2.0 ^cd++++=2.0;
; ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
2.7 ^cd++++=2.7)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5a ^cd++++=5a
and ^cc++++=and
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
8 ^zz++++=8
) ^zz++++=).
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^vbd+++xvbn+=analyzed
suicides ^nns+++??+=suicides
alone ^rb++++=alone
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
who ^whp+rel+obj++=who
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
were ^vbd+bed+vrb++=were
25 ^cd++++=25
times ^nns++++=times
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
die ^vbi++++=die
of ^in++++=of
suicide ^nn++++=suicide
( ^zz++++=(HR,
hr ^nnu++++=EXTRAWORD
, ^zz++++=EXTRAWORD
25.7 ^cd++++=25.7;
; ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
10.0 ^cd++++=10.0
66.2 ^cd++++=66.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cumulative ^jj+atrb+++=Cumulative
incidence ^nn+nom+++=incidence
curves ^nns++++=curves
also ^rb++++=also
demonstrated ^vprf+++xvbn+=demonstrated
that ^tht+vcmp+++=that
the ^ati++++=the
self ^nn++++=self-harm
- ^zz++++=EXTRAWORD
harm ^nn++++=EXTRAWORD
group ^nn++++=group
had ^vb+hv+vrb++=had
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
dying ^xvbg+++xvbg+=dying
from ^in++++=from
unnatural ^jj+atrb+++=unnatural
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
adjusting ^nn++++=adjusting
for ^in++++=for
competing ^nn++++=competing
risk ^vb++++=risk
of ^in++++=of
natural ^jj+atrb+++=natural
deaths ^nns++++=deaths
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5b ^cd++++=5b
) ^zz++++=).
. ^zz++++=EXTRAWORD
