Significant ^jj+atrb+++=Significant
attempts ^nns++++=attempts
at ^rb++++=at
litigation ^nn+nom+++=litigation
for ^in++++=for
abortion ^nn+nom+++=abortion
in ^in++++=in
India ^np++++=India
have ^vb+hv+aux++=have
sought ^vprf+++xvbnx+=sought
judicial ^jj+atrb+++=judicial
intervention ^nn+nom+++=intervention
to ^to++++=to
obtain ^vbi++++=obtain
abortion ^nn+nom+++=abortion
services ^nns++++=services
beyond ^in++++=beyond
the ^ati++++=the
approved ^jj+++xvbn+=approved
gestational ^jj++++=gestational
limit ^vb++++=limit
of ^in++++=of
20 ^cd++++=20
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gestational ^nn++++=gestational
limit ^vb++++=limit
is ^vbz+bez+vrb++=is
arbitrary ^jj+pred+++=arbitrary
and ^cc++++=and
is ^vbz+bez+aux++=is
not ^xnot++not++=not
backed ^vpsv++by+xvbn+=backed
by ^in++++=by
scientific ^jj+atrb+++=scientific
evidence ^nn+nom+++=evidence.
. ^zz++++=EXTRAWORD
In ^in++++=In
countries ^nns++++=countries
with ^in++++=with
liberal ^jj+atrb+++=liberal
abortion ^nn+nom+++=abortion
laws ^nns++++=laws
such ^abl++++=such
as ^ql++++=as
Vietnam ^np++++=Vietnam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
Bolivia ^np+++??+=Bolivia
and ^cc++++=and
Burkina ^np+++??+=Burkina
Faso ^np+++??+=Faso
where ^wrb+who+++=where
abortion ^nn+nom+++=abortion
is ^vbz+bez+aux++=is
permitted ^vpsv++agls+xvbnx+=permitted
only ^rb+down+++=only
to ^to++++=to
save ^vbi++++=save
the ^ati++++=the
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
life ^nn++++=life,
, ^zz++++=EXTRAWORD
no ^at++++=no
gestational ^jj+atrb+++=gestational
limits ^nns++++=limits
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
imposed ^vpsv++agls+xvbnx+=imposed
for ^in++++=for
abortion ^nn+nom+++=abortion
services ^nns++++=services
( ^zz++++=(
14 ^cd++++=14
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
imposition ^nn+nom+++=imposition
of ^in++++=of
a ^at++++=a
gestational ^nn++++=gestational
limit ^vb++++=limit
effectively ^rb++++=effectively
cuts ^nns++++=cuts
off ^in+pl+++=off
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
most ^ql+emph+++=most
vulnerable ^jj+atrb+++=vulnerable
populations ^nns+nom+++=populations
of ^in++++=of
women ^nns++++=women
( ^zz++++=(
67 ^cd++++=67
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
include ^vb++++=include
women ^nns++++=women
who ^whp+rel+subj++=who
have ^md"++pmd"++=have
to ^md+nec+++=to
negotiate ^nn+nom+++=negotiate
with ^in++++=with
their ^pp$+pp3+++=their
spouses ^nns++++=spouses
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
can ^md+pos+++=can
seek ^vb++++=seek
an ^at++++=an
abortion ^nn+nom+++=abortion;
; ^zz++++=EXTRAWORD
women ^nns++++=women
who ^whp+rel+subj++=who
need ^vb++++=need
time ^nn++++=time
to ^to++++=to
put ^vbi++++=put
together ^rb+phrv+++=together
the ^ati++++=the
resources ^nns++++=resources
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
seek ^vbi++++=seek
abortion ^nn+nom+++=abortion
from ^in++++=from
a ^at++++=a
distant ^jj+atrb+++=distant
facility ^nn+nom+++=facility;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
survivors ^nns++++=survivors
of ^in++++=of
sexual ^jj+atrb+++=sexual
assault ^nn++++=assault,
, ^zz++++=EXTRAWORD
including ^in++++=including
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
unable ^jj++++=unable
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
or ^cc+phrs+++=or
acknowledge ^vb+vpub+++=acknowledge
their ^pp$+pp3+++=their
pregnancies ^nns++++=pregnancies
or ^cc++++=or
do ^vb+do+vrb++=do
so ^ql++++=so
at ^rb++++=at
a ^at++++=a
later ^rbr+tm+++=later
gestational ^jj+atrb+++=gestational
age ^nn++++=age
than ^in++++=than
others ^aps++++=others
( ^zz++++=(
17 ^cd++++=17
, ^zz++++=,
62 ^cd++++=62
) ^zz++++=).
. ^zz++++=EXTRAWORD
