A.g.l ^np+++??+=A.G.L.
. ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
funding ^xvbg+++xvbg+=funding
from ^in++++=from
the ^ati++++=the
Wellcome ^np+++??+=Wellcome
Trust ^nn++++=Trust
( ^zz++++=(204841/Z/16/Z),
204841 ^cd++++=EXTRAWORD
National ^jj+atrb+++=National
Institute ^nn++++=Institute
for ^in++++=for
Health ^nn++++=Health
Research ^nn++++=Research
University ^npl+nom+++=University
College ^npl++++=College
London ^np++++=London
Hospitals ^nns+nom+++=Hospitals
Biomedical ^np+++??+=Biomedical
Research ^nn++++=Research
Centre ^nn++++=Centre
( ^zz++++=(BRC714/HI/RW/101440),
brc714 ^nn+++??+=EXTRAWORD
National ^jj+atrb+++=National
Institute ^nn++++=Institute
for ^in++++=for
Health ^nn++++=Health
Research ^nn++++=Research
Great ^jj+atrb+++=Great
Ormond ^np+++??+=Ormond
Street ^nn++++=Street
Hospital ^npl+nom+++=Hospital
Biomedical ^np+++??+=Biomedical
Research ^nn++++=Research
Centre ^nn++++=Centre
( ^zz++++=(19RX02)
19rx02 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
academy ^nn++++=Academy
of ^in++++=of
medical ^jj+atrb+++=Medical
sciences ^nns+nom+++=Sciences
( ^zz++++=(SBF006\1084).
sbf006\1084 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
