The ^ati++++=The
costs ^nns++++=costs
and ^cc++++=and
Ylls ^np+++??+=YLLs
averted ^vbd+++xvbn+=averted
are ^vb+ber+aux++=are
all ^abn++++=all
scaled ^vprf+++xvbn+=scaled
using ^vbg+++xvbg+=using
the ^ati++++=the
Indian ^jj+atrb+++=Indian
population ^nn+nom+++=population
of ^in++++=of
1,366 ^cd++++=1,366
million ^cd++++=million
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
estimation ^nn+nom+++=estimation
examines ^vbz++++=examines
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
possible ^jj+atrb+++=possible
disease ^nn++++=disease
transmissibility ^nn+nom+++=transmissibility
and ^cc++++=and
vaccine ^nn++++=vaccine
efficacy ^nn+nom+++=efficacy.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
each ^ppls++++=each
set ^vbd+++xvbn+=set
of ^in++++=of
disease ^nn++++=disease
transmissibility ^nn+nom+++=transmissibility
and ^cc++++=and
vaccine ^nn++++=vaccine
efficacy ^nn+nom+++=efficacy,
, ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
first ^od++++=first
simulated ^vprf+++xvbn+=simulated
100 ^cd++++=100
stochastic ^jj+atrb+++=stochastic
realizations ^nns+nom+++=realizations
for ^in++++=for
each ^dt++++=each
candidate ^nn+nom+++=candidate
vaccination ^nn+nom+++=vaccination
strategy ^nn++++=strategy
( ^zz++++=(including
including ^in++++=EXTRAWORD
the ^ati++++=the
status ^nn++++=status
quo ^&fw++++=quo);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
( ^zz++++=(2),
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
realization ^nn+nom+++=realization,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
above ^jjb+atrb+++=above
formulas ^nns+++??+=formulas
to ^to++++=to
calculate ^nn+nom+++=calculate
the ^ati++++=the
expected ^nn++++=expected
gain ^vb++++=gain
in ^in++++=in
the ^ati++++=the
Nmb ^np+++??+=NMB
for ^in++++=for
each ^dt++++=each
candidate ^nn+nom+++=candidate
strategy ^nn++++=strategy
as ^in++++=as
compared ^nn++++=compared
to ^in++++=to
the ^ati++++=the
status ^nn++++=status
quo ^&fw++++=quo
strategy ^nn++++=strategy;
; ^zz++++=EXTRAWORD
after ^in++++=after
which ^whp+rel+pied++=which
( ^zz++++=(3),
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
the ^ati++++=the
winning ^jj+atrb++xvbg+=winning
strategy ^nn++++=strategy
as ^in++++=as
the ^ati++++=the
strategy ^nn++++=strategy
giving ^vwbg+++xvbg+=giving
the ^ati++++=the
highest ^nn++++=highest
gain ^vb++++=gain
in ^in++++=in
the ^ati++++=the
Nmb ^np+++??+=NMB.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
then ^rn+tm+++=then
calculated ^vbd+vprv++xvbn+=calculated
the ^ati++++=the
proportion ^nn+nom+++=proportion
that ^tht+rel+obj++=that
each ^dt++++=each
strategy ^nn++++=strategy
is ^vbz+bez+aux++=is
selected ^vpsv++agls+xvbnx+=selected
as ^ql++++=as
the ^ati++++=the
winning ^jj+atrb++xvbg+=winning
strategy ^nn++++=strategy
across ^in+pl+++=across
all ^abn++++=all
100 ^cd++++=100
simulation ^nn+nom+++=simulation
realizations ^nns+nom+++=realizations.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
the ^ati++++=the
optimal ^jj+atrb+++=optimal
strategy ^nn++++=strategy
as ^in++++=as
the ^ati++++=the
one ^cd1++++=one
having ^vbg+hvg++xvbg+=having
the ^ati++++=the
highest ^jjt+atrb+++=highest
chance ^nn++++=chance
to ^to+ncmp+++=to
serve ^vbi++++=serve
as ^in++++=as
the ^ati++++=the
winning ^jj+atrb+++=winning
strategy ^nn++++=strategy.
. ^zz++++=EXTRAWORD
