Our ^pp$+pp1+++=Our
data ^nns++++=data
do ^vb+do+vrb++=do
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
nonstepping ^xvbg+++xvbg+=nonstepping
activity ^nn+nom+++=activity
such ^abl++++=such
as ^ql++++=as
swimming ^jj+++xvbg+=swimming
or ^cc+phrs+++=or
cycling ^jj+++xvbg+=cycling,
, ^zz++++=EXTRAWORD
such ^abl++++=such
nonstepping ^jj+atrb++xvbg+=nonstepping
movement ^nn+nom+++=movement
is ^vbz+bez+vrb++=is
better ^jjr++++=better
captured ^jj+++xvbn+=captured
via ^in++++=via
waveform ^nn+++??+=waveform
or ^cc++++=or
raw ^jj+atrb+++=raw
accelerometry ^nn++++=accelerometry
and ^cc++++=and
may ^md+pos+++=may
provide ^vb+vsua+++=provide
additional ^jj+atrb+++=additional
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
and ^cc++++=and
clinical ^jj++++=clinical
diagnoses ^vbz++++=diagnoses.
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was
observational ^jj+pred+++=observational
in ^in++++=in
nature ^nn++++=nature;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
causation ^nn+nom+++=causation
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
inferred ^vpsv++agls+xvbnx+=inferred.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
acknowledge ^vb+vpub+++=acknowledge
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
reverse ^jj+atrb+++=reverse
causation ^nn+nom+++=causation
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
condition ^nn+nom+++=condition
leads ^vbz++++=leads
to ^to++++=to
taking ^vbi++++=taking
fewer ^ap++++=fewer
steps ^nns++++=steps
rather ^rb++++=rather
than ^in++++=than
the ^ati++++=the
reverse ^nn++++=reverse.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
mitigate ^nn+nom+++=mitigate
this ^dt+dem+++=this
concern ^nn++++=concern
by ^in++++=by
focusing ^xvbg+++xvbg+=focusing
only ^rb+down+++=only
on ^in++++=on
incident ^nn++++=incident
conditions ^nns+nom+++=conditions
and ^cc++++=and
excluding ^vbg+++xvbg+=excluding
any ^dti++++=any
incident ^nn++++=incident
disease ^nn++++=disease
that ^tht+rel+subj++=that
emerged ^vprf+++xvbn+=emerged
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
6 ^zz++++=6
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
monitoring ^jj+atrb++xvbg+=monitoring
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Further ^jjb++++=Further,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
potential ^nn++++=potential
for ^in++++=for
unmeasured ^jj+++xvbn+=unmeasured
confounding ^jj+++xvbg+=confounding
in ^in++++=in
our ^pp$+pp1+++=our
analyses ^nns++++=analyses
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
able ^jj++++=able
to ^to+jcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
an ^at++++=an
exhaustive ^jj+atrb+++=exhaustive
list ^nn++++=list
of ^in++++=of
potential ^jj+atrb+++=potential
confounders ^nns+nom+++=confounders
such ^abl++++=such
as ^ql++++=as
job ^nn++++=job
status ^nn++++=status,
, ^zz++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors
and ^cc++++=and
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
usage ^nn++++=usage
patterns ^nns++++=patterns
between ^in++++=between
participants ^nns+nom+++=participants
over ^in++++=over
time ^nn++++=time
. ^zz++++=.
Future ^jjb+atrb+++=Future
studies ^nns++++=studies
are ^vb+ber+aux++=are
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
user ^nn++++=user
behavior ^nn++++=behavior
on ^in++++=on
health ^nn++++=health
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
findings ^nns++++=findings
