Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
present ^vb++++=present
and ^cc+phrs+++=and
apply ^vb++++=apply
a ^at++++=a
novel ^nn++++=novel
scrna ^nn+++??+=scRNA-seq-based
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
framework ^nn++++=framework
to ^in++++=to
a ^at++++=a
unique ^jj+atrb+++=unique
longitudinal ^jj+atrb+++=longitudinal
study ^nn++++=study
of ^in++++=of
human ^jj+atrb+++=human
infection ^nn+nom+++=infection
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
characterize ^vb++++=characterize
conserved ^vbd+++xvbn+=conserved
immune ^jj+atrb+++=immune
response ^nn++++=response
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
cell ^nn++++=cell
subsets ^nns+++??+=subsets
and ^cc++++=and
gene ^np++++=gene
programs ^nns+++??+=programs
with ^in++++=with
potential ^jj+atrb+++=potential
therapeutic ^jj+atrb+++=therapeutic
and ^cc+phrs+++=and
preventative ^jj+atrb+++=preventative
applications ^nns+nom+++=applications.
. ^zz++++=EXTRAWORD
By ^in++++=By
analyzing ^xvbg+++xvbg+=analyzing
hundreds ^cds++++=hundreds
of ^in++++=of
cells ^nns++++=cells
per ^in++++=per
timepoint ^vbd+++xvbn+=timepoint
and ^cc++++=and
cell ^nn++++=cell
type ^nn++++=type,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
powered ^vpsv++agls+xvbnx+=powered
to ^to++++=to
identify ^vbi++++=identify
significant ^jj+atrb+++=significant
changes ^nns++++=changes
in ^in++++=in
abundant ^jj+atrb+++=abundant
cellular ^jj+atrb+++=cellular
phenotypes ^nns+++??+=phenotypes
over ^in++++=over
time ^nn++++=time
in ^in++++=in
each ^dt++++=each
participant ^nn+nom+++=participant;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
all ^abn++++=all
potential ^jj+atrb+++=potential
sources ^nns++++=sources
of ^in++++=of
cellular ^jj+atrb+++=cellular
heterogeneity ^nn+nom+++=heterogeneity
or ^cc++++=or
their ^pp$+pp3+++=their
impact ^nn++++=impact
on ^in++++=on
infection ^nn+nom+++=infection
outcome ^nn++++=outcome.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
discovered ^vbd+vprv++xvbn+=discovered
interrelated ^jj+atrb+++=interrelated
temporal ^jj+atrb+++=temporal
Gm ^np+++??+=GM
expression ^nn++++=expression
patterns ^nns++++=patterns
in ^in++++=in
distinct ^jj+atrb+++=distinct
cell ^nn++++=cell
types ^nns++++=types
and ^cc++++=and
nominated ^jj+atrb++xvbn+=nominated
mechanisms ^nns+nom+++=mechanisms
by ^in++++=by
which ^whp+rel+pied++=which
multiple ^jj+atrb+++=multiple
components ^nns++++=components
of ^in++++=of
the ^ati++++=the
immune ^jj+atrb+++=immune
system ^nn++++=system
may ^md+pos+++=may
respond ^vb++++=respond
collectively ^rb++++=collectively
sometimes ^rb++++=sometimes
with ^in++++=with
different ^jj+atrb+++=different
gene ^np++++=gene
programs ^nns+++??+=programs
to ^in++++=to
Hiv ^np+++??+=HIV
infection ^nn+nom+++=infection.
. ^zz++++=EXTRAWORD
By ^in++++=By
identifying ^xvbg+++xvbg+=identifying
upstream ^rb+pl+++=upstream
drivers ^nns+nom+++=drivers
that ^tht+rel+obj++=that
may ^md+pos+++=may
induce ^vb++++=induce
our ^pp$+pp1+++=our
Mms ^np+++??+=MMs,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hypothesized ^vbd+++xvbn+=hypothesized
when ^wrb+who+++=when
and ^cc+cls+++=and
how ^wrb+who+++=how
various ^jj+atrb+++=various
cytokines ^nns+++??+=cytokines,
, ^zz++++=EXTRAWORD
chemokines ^nns+++??+=chemokines
and ^cc++++=and
transcription ^nn+nom+++=transcription
factors ^nns++++=factors
might ^md+pos+++=might
orchestrate ^nn+nom+++=orchestrate
immune ^jj+atrb+++=immune
responses ^nns++++=responses
during ^in++++=during
infection ^nn+nom+++=infection.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
work ^nn++++=work
affords ^vbz++++=affords
a ^at++++=a
unique ^jj+atrb+++=unique
reference ^nn+nom+++=reference
dataset ^nn+++??+=dataset
for ^in++++=for
studying ^xvbg+++xvbg+=studying
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
moments ^nns+nom+++=moments
of ^in++++=of
Hiv ^np+++??+=HIV
infection ^nn+nom+++=infection
after ^cs+sub+++=after
detection ^nn+nom+++=detection
and ^cc++++=and
suggests ^vbz+vpub+++=suggests
potentially ^rb++++=potentially
new ^jj+atrb+++=new
roles ^nns++++=roles
for ^in++++=for
monocytes ^nns+++??+=monocytes,
, ^zz++++=EXTRAWORD
Nk ^np+++??+=NK
Cells ^nns++++=cells
And ^cc++++=and
Cd4 ^np++++=CD4
T ^zz++++=T
Cells ^nns++++=cells
In ^in++++=in
Acute ^jj+atrb+++=acute
Infection ^nn+nom+++=infection.
 ^zz++++=EXTRAWORD
