Read ^vb+vprv++xvbn+=Read
alignment ^nn+nom+++=alignment,
, ^zz++++=EXTRAWORD
cell ^nn++++=cell
barcode ^nn+++??+=barcode
discrimination ^nn+nom+++=discrimination
and ^cc++++=and
Umi ^np+++??+=UMI
per ^in++++=per
transcript ^nn++++=transcript
collation ^nn+nom+++=collation
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
as ^ql++++=as
by ^in++++=by
Ordovas ^np+++??+=Ordovas-Montanes
- ^zz++++=EXTRAWORD
montanes ^nns+nom++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
hg19 ^nn+++??+=hg19
reference ^nn+nom+++=reference.
. ^zz++++=EXTRAWORD
Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
aligned ^vbd+++xvbn+=aligned
the ^ati++++=the
sequences ^nns+nom+++=sequences
from ^in++++=from
P1 ^np+++??+=P1
to ^in++++=to
a ^at++++=a
combined ^jj+++xvbn+=combined
Hiv ^np+++??+=HIV
+ ^zz++++=+
hg19 ^nn+++??+=hg19
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
the ^ati++++=the
consensus ^nn++++=consensus
sequence ^nn+nom+++=sequence
of ^in++++=of
Hiv ^np+++??+=HIV
clade ^nn+++??+=clade
C ^zz++++=C
viruses ^nns++++=viruses
from ^in++++=from
the ^ati++++=the
Hiv ^np+++??+=HIV
Sequence ^nn+nom+++=Sequence
Database ^np+++??+=Database
( ^zz++++=(
https ^nns+++??+=https://www.hiv.lanl.gov/content/sequence/HIV/mainpage.html
: ^zz++++=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
After ^in++++=After
alignment ^nn+nom+++=alignment,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
measured ^vbd+++xvbn+=measured
0 ^zz++++=0
2 ^zz++++=2
cells ^nns++++=cells
with ^in++++=with
Hiv ^np+++??+=HIV
transcript ^nn++++=transcript
alignments ^nns+nom+++=alignments
per ^in++++=per
array ^nn++++=array;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
standard ^jj+atrb+++=standard
hg19 ^nn+++??+=hg19
reference ^nn+nom+++=reference
for ^in++++=for
our ^pp$+pp1+++=our
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
