Not ^xnot++not++=Not
all ^rb++++=all
unintended ^jj+atrb+++=unintended
pregnancies ^nns++++=pregnancies
result ^nn++++=result
in ^in++++=in
terminations ^nns+nom+++=terminations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn+nom+++=proportion
of ^in++++=of
abortions ^nns+nom+++=abortions
performed ^vwbn+++xvbn+=performed
for ^in++++=for
unintended ^jj+atrb+++=unintended
pregnancies ^nns++++=pregnancies
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
from ^in++++=from
51 ^cd++++=51%
% ^zz++++=EXTRAWORD
to ^to++++=to
61 ^cd++++=61%
% ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
30 ^cd++++=30-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
period ^nn++++=period
from ^in++++=from
1990 ^cd+date+++=1990
to ^to++++=to
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
The ^ati++++=The
differences ^nns+nom+++=differences
are ^vb+ber+vrb++=are
again ^rb+tm+++=again
evident ^jj+pred+++=evident
across ^in+pl+++=across
country ^nn++++=country
income ^nn++++=income
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
estimates ^nns+nom+++=estimates
report ^nn++++=report
15 ^cd++++=15
abortions ^nns+nom+++=abortions
per ^in++++=per
1,000 ^cd++++=1,000
women ^nns++++=women
in ^in++++=in
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
44 ^cd++++=44
per ^in++++=per
1,000 ^cd++++=1,000
women ^nns++++=women
in ^in++++=in
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
38 ^cd++++=38
per ^in++++=per
1,000 ^cd++++=1,000
women ^nns++++=women
in ^in++++=in
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
( ^zz++++=(
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
