Syntactically ^rb+cnj+++=Syntactically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
restricted ^vpsv++agls+xvbnx+=restricted
to ^to++++=to
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
intensity ^nn+nom+++=intensity
expressions ^nns++++=expressions
( ^zz++++=(
Zeschel ^np++++=Zeschel
2012 ^cd++++=2012
: ^zz++++=:44):
44 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
expressions ^nns++++=expressions
where ^wrb+who+++=where
the ^ati++++=the
three ^cd++++=three
amplifiers ^nns+nom+++=amplifiers
in ^in++++=in
focus ^nn++++=focus
pre ^nn+++??+=pre-modify
- ^zz++++=EXTRAWORD
modify ^vb++++=EXTRAWORD
adjectival ^nn+nom+++=adjectival
heads ^nns++++=heads
( ^zz++++=(
very ^ql+amp+++=very
good ^jj++++=good
in ^in++++=in
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
and ^cc++++=and
adverbial ^jj+atrb+++=adverbial
heads ^nns++++=heads
( ^zz++++=(
so ^ql++++=so
violently ^rb++++=violently
in ^in++++=in
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
