Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
triangulating ^jj+atrb++??+=triangulating
research ^nn++++=research
methods ^nns++++=methods
( ^zz++++=(
Hesse ^np++++=Hesse-Biber,
- ^zz++++=EXTRAWORD
biber ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
and ^cc+cls+++=and
Malamatidou ^np+++??+=Malamatidou,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
triangulate ^vb+++??+=triangulate
the ^ati++++=the
Arabic ^jj+atrb+++=Arabic
corpus ^nn++++=corpus
data ^nns++++=data
with ^in++++=with
the ^ati++++=the
Genealogies ^np+++??+=Genealogies
of ^in++++=of
Knowledge ^nn++++=Knowledge
Internet ^np+++??+=Internet
Sub ^nn++++=Sub-corpus
- ^zz++++=EXTRAWORD
corpus ^nn++++=EXTRAWORD
( ^zz++++=(
gkis ^nns+++??+=gkis
) ^zz++++=),
, ^zz++++=EXTRAWORD
a ^at++++=a
comparable ^jj++++=comparable
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn++++=EXTRAWORD
online ^nn+++??+=online
political ^jj+atrb+++=political
corpus ^nn++++=corpus
being ^xvbg+++xvbg+=being
constructed ^vwbn+++xvbn+=constructed
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
ahrc ^nn+++??+=ahrc
- ^zz++++=-funded
funded ^nn+++??+=EXTRAWORD
Genealogies ^np+++??+=Genealogies
of ^in++++=of
Knowledge ^nn++++=Knowledge
Project ^nn++++=Project.
. ^zz++++=EXTRAWORD
6 ^zz++++=6
The ^ati++++=The
construction ^nn++++=construction
of ^in++++=of
gkis ^nns+++??+=gkis
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
dictated ^vpsv++by+xvbnx+=dictated
by ^in++++=by
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
leftand ^nn+++??+=leftand
right ^jj++++=right-wing
- ^zz++++=EXTRAWORD
wing ^nn++++=EXTRAWORD
politics ^nn++++=politics
and ^cc++++=and
debates ^nns++++=debates
about ^in++++=about
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
science ^nn++++=science.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
carrying ^vbg+++xvbgx+=carrying
out ^rp+pl+++=out
the ^ati++++=the
research ^nn++++=research
for ^in++++=for
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
gkis ^nns+++??+=gkis
mainly ^rb++++=mainly
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
texts ^nns++++=texts
drawn ^vwbn+++xvbn+=drawn
from ^in++++=from
left ^vbd+++xvbn+=left-wing
- ^zz++++=EXTRAWORD
wing ^nn++++=EXTRAWORD
and ^cc++++=and
left ^vbd+++xvbn+=left-leaning
- ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=EXTRAWORD
online ^nn+++??+=online
political ^jj+atrb+++=political
outlets ^nns++++=outlets.
. ^zz++++=EXTRAWORD
7 ^zz++++=7
Texts ^nns++++=Texts
from ^in++++=from
these ^dt+dem+++=these
outlets ^nns++++=outlets
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
gkis ^nns+++??+=gkis
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
issues ^nns++++=issues
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
related ^vpsv++agls+xvbn+=related
to ^in++++=to
these ^dt+dem+++=these
two ^cd++++=two
overarching ^nn++++=overarching
themes ^nns++++=themes.
. ^zz++++=EXTRAWORD
