Functionally ^rb+cnj+++=Functionally,
, ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=ME
tautological ^jj+atrb++??+=tautological
clusters ^nns++++=clusters
are ^vb+ber+vrb++=are
mainly ^rb++++=mainly
attributive ^nn+++??+=attributive-only
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
constructions ^nns++++=constructions
and ^cc++++=and
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
unitary ^jj+atrb+++=unitary
noun ^nn++++=noun
modifiers ^nns+++??+=modifiers,
, ^zz++++=EXTRAWORD
often ^rb++++=often
to ^to++++=to
denote ^vbi+vsua+++=denote
the ^ati++++=the
physical ^jj+atrb+++=physical
dimension ^nn++++=dimension
of ^in++++=of
their ^pp$+pp3+++=their
nominal ^jj+atrb+++=nominal
referent ^nn+++??+=referent
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
non ^&fw++++=non-physical
- ^zz++++=EXTRAWORD
physical ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
metaphorical ^jj+atrb+++=metaphorical
dimension ^nn++++=dimension
readings ^nns++++=readings
are ^vb+ber+vrb++=are
also ^rb++++=also
attested ^jj+pred+++=attested).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
mighty ^ql++++=mighty
great ^np++++=great
in ^in++++=in
( ^zz++++=(5)
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
records ^vbz+vpub+++=records
the ^ati++++=the
large ^jj+atrb+++=large
quantity ^nn++++=quantity
of ^in++++=of
Medusa ^np+++??+=Medusa
s ^zz++++=s
courage ^nn++++=courage,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
( ^zz++++=(7),
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
size ^nn++++=size
denotation ^nn+++??+=denotation
of ^in++++=of
grete ^nn+++??+=grete
longe ^nn+++??+=longe
is ^vbz+bez+aux++=is
mapped ^vpsv++agls+xvbnx+=mapped
onto ^in++++=onto
a ^at++++=a
metaphorical ^jj+atrb+++=metaphorical
scale ^nn++++=scale
of ^in++++=of
difficulty ^nn++++=difficulty
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
hard ^jj+atrb+++=hard
toil ^nn++++=toil
) ^zz++++=).
. ^zz++++=EXTRAWORD
