Stance ^nn++++=Stance,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
speaker ^npt++++=speaker
s ^zz++++=s
position ^nn++++=position
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
topic ^nn++++=topic
and ^cc++++=and
self ^nn++++=self,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
also ^rb++++=also
condition ^nn++++=condition
stylistic ^jj+atrb+++=stylistic
variation ^nn++++=variation.
. ^zz++++=EXTRAWORD
Kiesling ^np+++??+=Kiesling
( ^zz++++=(2009
2009 ^cd++++=EXTRAWORD
: ^zz++++=:172)
172 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
defines ^vbz++++=defines
stance ^nn++++=stance
as ^in++++=as
a ^at++++=a
person ^nn++++=person
s ^zz++++=s
expression ^nn++++=expression
of ^in++++=of
their ^pp$+pp3+++=their
relationship ^nn++++=relationship
to ^in++++=to
their ^pp$+pp3+++=their
talk ^vb++++=talk
( ^zz++++=(their
their ^pp$+pp3+++=EXTRAWORD
epistemic ^nn+++??+=epistemic
stance ^nn++++=stance
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
certain ^jj++++=certain
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
about ^in++++=about
their ^pp$+pp3+++=their
assertions ^nns++++=assertions)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
person ^nn++++=person
s ^zz++++=s
expression ^nn++++=expression
of ^in++++=of
their ^pp$+pp3+++=their
relationship ^nn++++=relationship
to ^in++++=to
their ^pp$+pp3+++=their
interlocutors ^nns+++??+=interlocutors
( ^zz++++=(their
their ^pp$+pp3+++=EXTRAWORD
interpersonal ^nn+++??+=interpersonal
stance ^nn++++=stance
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
friendly ^jj++++=friendly
or ^cc+phrs+++=or
dominating ^jj+++xvbg+=dominating).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Kiesling ^np+++??+=Kiesling
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
