Intra ^np+++??+=Intra-textual
- ^zz++++=EXTRAWORD
textual ^jj+atrb+++=EXTRAWORD
factors ^nns++++=factors
include ^vb++++=include
many ^ap++++=many
semantic ^jj++++=semantic
and ^cc++++=and
morphosyntactic ^nn+++??+=morphosyntactic
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Semantic ^jj+atrb+++=Semantic
factors ^nns++++=factors
mainly ^rb++++=mainly
contain ^vb++++=contain
head ^jjb+atrb+++=head
np ^nn+++??+=np
s ^zz++++=s
animacy ^nn+++??+=animacy
and ^cc++++=and
arguments ^nns++++=arguments
in ^in++++=in
previous ^jj+atrb+++=previous
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming
and ^cc++++=and
Chen ^np+++??+=Chen
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studied ^vprf+++xvbn+=studied
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
animacy ^nn+++??+=animacy
on ^in++++=on
head ^jjb+atrb+++=head
np ^nn+++??+=np
s ^zz++++=s
in ^in++++=in
native ^jj++++=native
Chinese ^jj++++=Chinese.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
animate ^nn+++??+=animate
and ^cc++++=and
concrete ^jj+atrb+++=concrete
inanimate ^jj+atrb+++=inanimate
head ^jjb+atrb+++=head
np ^nn+++??+=np
s ^zz++++=s
favour ^nn++++=favour
imn ^nn+++??+=imn
, ^zz++++=,
while ^cs+sub+++=while
abstract ^jj+atrb+++=abstract
animate ^nn+++??+=animate
head ^jjb+atrb+++=head
np ^nn+++??+=np
s ^zz++++=s
favour ^nn++++=favour
omn ^nn+++??+=omn
, ^zz++++=,
see ^vb+vprv+++=see
Examples ^nns++++=Examples
3 ^zz++++=3
and ^cc++++=and
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
in ^in++++=in
Chinese ^jj+atrb+++=Chinese
interlanguage ^nn+++??+=interlanguage,
, ^zz++++=EXTRAWORD
abstract ^jj+atrb+++=abstract
animate ^nn+++??+=animate
np ^nn+++??+=np
s ^zz++++=s
also ^rb++++=also
prefer ^vb+vprv+++=prefer
imn ^nn+++??+=imn
. ^zz++++=.
In ^in++++=In
corpus ^nn++++=corpus
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
subject ^nn++++=subject
is ^vbz+bez+vrb++=is
animate ^nn+++??+=animate
and ^cc++++=and
the ^ati++++=the
object ^nn++++=object
is ^vbz+bez+vrb++=is
inanimate ^jj+pred+++=inanimate.
. ^zz++++=EXTRAWORD
