Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Aan ^np+++??+=AAN
and ^cc++++=and
Ana ^np+++??+=ANA
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
Bech ^np+++??+=Bech
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
the ^ati++++=the
following ^jj+atrb++xvbg+=following
elements ^nns+nom+++=elements,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
corpus ^nn++++=corpus
annotators ^nns++++=annotators
classified ^vwbn+++xvbn+=classified
as ^ql++++=as
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded:
: ^zz++++=EXTRAWORD
agen ^j+++xvbn+=agen
own ^ap++++=own,
, ^zz++++=EXTRAWORD
ilca ^nn+++??+=ilca
same ^ap++++=same,
, ^zz++++=EXTRAWORD
o ^zz++++=o
er ^&fw++++=er
other ^ap++++=other,
, ^zz++++=EXTRAWORD
self ^nn++++=self
same ^ap++++=same,
, ^zz++++=EXTRAWORD
swilc ^nn+++??+=swilc
such ^abl++++=such.
. ^zz++++=EXTRAWORD
Bech ^np+++??+=Bech
( ^zz++++=(2017
2017 ^cd++++=EXTRAWORD
: ^zz++++=:12)
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
remarks ^vbz+vpub+++=remarks
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
degree ^nn++++=degree
of ^in++++=of
adjectivity ^nn+nom+++=adjectivity
can ^md+pos+++=can
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
be ^vb+be+aux++=be
categorized ^vpsv++agls+xvbnx+=categorized
as ^ql++++=as
peripheral ^jj++++=peripheral,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-descriptive,
- ^zz++++=EXTRAWORD
descriptive ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
determiner ^jjr++++=determiner-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
easily ^rb++++=easily
combine ^vb++++=combine
with ^in++++=with
descriptive ^jj+atrb+++=descriptive
adjectives ^nns++++=adjectives.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
and ^cc++++=and
- ^zz++++=-type
type ^nn++++=EXTRAWORD
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
conjunction ^nn+nom+++=conjunction
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
two ^cd++++=two
separate ^jj+atrb+++=separate
qualities ^nns+nom+++=qualities
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbnx+=discussed
and ^cc++++=and
the ^ati++++=the
modifiers ^nns+nom+++=modifiers
do ^vb+do+aux++=do
not ^xnot++not++=not
combine ^vb++++=combine
in ^in++++=in
a ^at++++=a
hierarchy ^nn++++=hierarchy
and ^cc++++=and
work ^nn++++=work
descriptively ^rb+cnj+++=descriptively,
, ^zz++++=EXTRAWORD
examples ^nns++++=examples
such ^abl++++=such
as ^in++++=as
( ^zz++++=(11)
11 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
counted ^vbd+++xvbn+=counted.
. ^zz++++=EXTRAWORD
