Relying ^vbg+++xvbg+=Relying
on ^in++++=on
orthography ^nn++++=orthography
to ^in++++=to
reverse ^nn++++=reverse
a ^at++++=a
merger ^nn++++=merger
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
a ^at++++=a
linguistic ^jj+atrb+++=linguistic
means ^nn++++=means
of ^in++++=of
reversing ^xvbg+++xvbg+=reversing
it ^pp3+it+++=it
per ^nnu++++=per
se ^&fw++++=se.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
scholars ^nns++++=scholars
such ^abl++++=such
as ^ql++++=as
Maguire ^np+++??+=Maguire,
, ^zz++++=EXTRAWORD
Clark ^np++++=Clark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Watson ^np++++=Watson
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
Labov ^np+++??+=Labov
s ^zz++++=s
( ^zz++++=(1994)
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
interpretation ^nn+nom+++=interpretation
of ^in++++=of
Garde ^np+++??+=Garde
s ^zz++++=s
Principle ^nn++++=Principle
is ^vbz+bez+vrb++=is
too ^ql++++=too
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
some ^dti++++=some
( ^zz++++=(complete)
complete ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mergers ^nns+nom+++=mergers
can ^md+pos+++=can
be ^vb+be+aux++=be
reversed ^vpsv++by+xvbnx+=reversed
by ^in++++=by
linguistic ^jj+atrb+++=linguistic
means ^nn++++=means.
. ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
and ^cc++++=and
Chang ^np+++??+=Chang
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
offer ^nn++++=offer
a ^at++++=a
potential ^jj+atrb+++=potential
example ^nn++++=example
of ^in++++=of
merger ^nn++++=merger
reversal ^jj++++=reversal
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
linguistic ^jj+atrb+++=linguistic
means ^nn++++=means.
. ^zz++++=EXTRAWORD
In ^in++++=In
Shanghainese ^np+nom++??+=Shanghainese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
merger ^nn++++=merger
or ^cc++++=or
near ^rb++++=near
merger ^nn++++=merger
for ^in++++=for
many ^ap++++=many
speakers ^nns+nom+++=speakers.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
begun ^vprf+++xvbnx+=begun
to ^to++++=to
reverse ^vbi++++=reverse,
, ^zz++++=EXTRAWORD
with ^in++++=with
gaining ^xvbg+++xvbg+=gaining
a ^at++++=a
glide ^nn++++=glide.
. ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
and ^cc++++=and
Chang ^np+++??+=Chang
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
attribute ^vb++++=attribute
this ^dt+dem+++=this
change ^nn++++=change
to ^in++++=to
contact ^nn++++=contact
with ^in++++=with
Mandarin ^nn++++=Mandarin,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
in ^in++++=in
the ^ati++++=the
set ^nn+++xvbn+=set
of ^in++++=of
lexical ^jj+atrb+++=lexical
items ^nns++++=items
cognate ^jj++++=cognate
to ^in++++=to
the ^ati++++=the
original ^jj+atrb+++=original
Shanghainese ^np+nom++??+=Shanghainese
As ^in++++=As
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
note ^vb++++=note
that ^tht+vcmp+obj++=that
Shanghainese ^np+nom++??+=Shanghainese-Mandarin
- ^zz++++=EXTRAWORD
mandarin ^np++++=EXTRAWORD
bilinguals ^nns+nom+++=bilinguals
lead ^nn++++=lead
monolinguals ^nns+nom+++=monolinguals
in ^in++++=in
the ^ati++++=the
change ^nn++++=change,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
phone ^nn++++=phone
separation ^nn+nom+++=separation
is ^vbz+bez+vrb++=is
largest ^jjt+pred+++=largest
in ^in++++=in
experimental ^jj+atrb+++=experimental
tasks ^nns++++=tasks
which ^whp+rel+obj++=which
force ^nn++++=force
speakers ^nns+nom+++=speakers
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
translation ^nn+nom+++=translation-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
exercises ^nns++++=exercises.
. ^zz++++=EXTRAWORD
Merger ^nn++++=Merger
reversal ^jj++++=reversal
by ^in++++=by
L2 ^np+++??+=L2
transfer ^nn+nom+++=transfer,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
argue ^vb+vpub+++=argue,
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
reversal ^jj+pred+++=reversal
by ^in++++=by
linguistic ^jj+atrb+++=linguistic
means ^nn++++=means.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
note ^vb++++=note
that ^tht+vcmp+++=that
because ^cs+cos+++=because
these ^dt+dem+++=these
vowels ^nns++++=vowels
