Tracing ^np+++??+=Tracing
combined ^vbd+++xvbn+=combined
pronoun ^nn++++=pronoun
use ^nn++++=use
through ^in++++=through
history ^nn++++=history
can ^md+pos+++=can
shine ^vb++++=shine
a ^at++++=a
light ^nn++++=light
on ^in++++=on
the ^ati++++=the
uptake ^nn++++=uptake
of ^in++++=of
such ^abl++++=such
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
provide ^vb+vsua+++=provide
further ^jjb+atrb+++=further
information ^nn+nom+++=information
about ^in++++=about
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
antecedents ^nns++++=antecedents
likely ^jj++++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used
with ^in++++=with
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns.
. ^zz++++=EXTRAWORD
the ^ati++++=The
paper ^nn++++=paper
thus ^rb+cnj+++=thus
addresses ^nns+nom+++=addresses
the ^ati++++=the
following ^jj+atrb+++=following
research ^nn++++=research
questions ^nns+nom+++=questions:
: ^zz++++=EXTRAWORD
