In ^in++++=In
preparing ^xvbg+++xvbg+=preparing
the ^ati++++=the
two ^cd++++=two
corpora ^nn+++??+=corpora
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
( ^zz++++=(
Carusi ^np++++=Carusi,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
, ^zz++++=,
Carusi ^np+++??+=Carusi
and ^cc++++=and
Jirotka ^np+++??+=Jirotka,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=)
distinction ^nn+nom+++=distinction
between ^in++++=between
thin ^jj+atrb+++=thin
and ^cc+phrs+++=and
thick ^jj+atrb+++=thick
identity ^nn+nom+++=identity
helpful ^jj++++=helpful:
: ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
former ^ap++++=former
refers ^vbz++++=refers
to ^in++++=to
proper ^jj+atrb+++=proper
names ^nns++++=names
or ^cc++++=or
other ^ap++++=other
details ^nns++++=details
which ^whp+rel+subj++=which
may ^md+pos+++=may
identify ^vb++++=identify
a ^at++++=a
particular ^jj++++=particular
individual ^jj++++=individual
( ^zz++++=(mapping
mapping ^nn++++=EXTRAWORD
on ^in++++=on
to ^in++++=to
personal ^jj+atrb+++=personal
data ^nns++++=data
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
covers ^nns++++=covers
the ^ati++++=the
narratives ^nns++++=narratives
that ^tht+rel+obj++=that
people ^nns++++=people
use ^nn++++=use
to ^to++++=to
make ^vbi++++=make
sense ^nn++++=sense
of ^in++++=of
their ^pp$+pp3+++=their
lives ^nns++++=lives
and ^cc++++=and
circumstances ^nns+nom+++=circumstances
( ^zz++++=(p.41)
p.41 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
aligns ^nns+++??+=aligns
with ^in++++=with
our ^pp$+pp1+++=our
definition ^nn+nom+++=definition
of ^in++++=of
sensitive ^jj+atrb+++=sensitive
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Key ^jjb+atrb+++=Key
questions ^nns+nom+++=questions
were ^vbd+bed+aux++=were:
: ^zz++++=EXTRAWORD
would ^md+prd+++=would
a ^at++++=a
corpus ^nn++++=corpus
user ^nn++++=user
identify ^vb++++=identify
anyone ^pn++++=anyone
from ^in++++=from
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
information ^nn+nom+++=information?
? ^zz++++=EXTRAWORD
E.g ^rb++++=E.g.
. ^zz++++=EXTRAWORD
would ^md+prd+++=would
it ^pp3+it+++=it
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
cross ^vbi++++=cross
check ^vb+vprv+++=check
date ^nn++++=date
and ^cc++++=and
reason ^nn++++=reason
for ^in++++=for
hospital ^nn+nom+++=hospital
admission ^nn++++=admission
against ^in++++=against
another ^dt++++=another
dataset ^nn+++??+=dataset?
? ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
details ^vb++++=details
appear ^vb+seem+++=appear
in ^in++++=in
an ^at++++=an
online ^nn+++??+=online
search ^nn++++=search
covering ^vwbg+++xvbg+=covering
open ^jj+atrb+++=open
access ^nn++++=access
articles ^nns++++=articles
quoting ^vwbg+++xvbg+=quoting
the ^ati++++=the
extract ^nn++++=extract?
? ^zz++++=EXTRAWORD
A ^at++++=A
fundamental ^jj+atrb+++=fundamental
concern ^nn++++=concern
for ^in++++=for
us ^pp1o+pp1+++=us
as ^in++++=as
researchers ^nns+nom+++=researchers
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
research ^nn++++=research
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
negative ^jj+atrb+++=negative
impact ^nn++++=impact
on ^in++++=on
any ^dti++++=any
individual ^jj+atrb+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
to ^in++++=to
act ^nn++++=act
with ^in++++=with
integrity ^nn+nom+++=integrity
as ^in++++=as
virtuous ^jj+atrb+++=virtuous
researchers ^nns+nom+++=researchers
( ^zz++++=(e.g.
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Iphofen ^np+++??+=Iphofen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
envisage ^nn+nom+++=envisage
hypothetical ^jj+atrb+++=hypothetical
situations ^nns+nom+++=situations
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
care ^nn++++=care-leaver
- ^zz++++=EXTRAWORD
leaver ^jjr++++=EXTRAWORD
accessed ^jj+++xvbn+=accessed
the ^ati++++=the
archive ^nn++++=archive
and ^cc++++=and
was ^vbd+bedz+aux++=was
disturbed ^vpsv++agls+xvbnx+=disturbed
to ^to++++=to
recognise ^vbi+vprv+++=recognise
an ^at++++=an
account ^nn++++=account
of ^in++++=of
a ^at++++=a
critical ^jj+atrb+++=critical
period ^nn++++=period
of ^in++++=of
their ^pp$+pp3+++=their
life ^nn++++=life,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
a ^at++++=a
researcher ^nn+nom+++=researcher
recognised ^vwbn+vprv++xvbn+=recognised
a ^at++++=a
case ^nn++++=case
history ^nn++++=history
of ^in++++=of
someone ^pn++++=someone
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
tilley ^np++++=Tilley
and ^cc++++=and
woodthorpe ^np++++=Woodthorpe,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
