Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
the ^ati++++=the
considerable ^jj+atrb+++=considerable
scatter ^nn++++=scatter
of ^in++++=of
individual ^jj+atrb+++=individual
speakers ^nns++++=speakers
vowel ^jj+atrb++??+=vowel
positions ^nns++++=positions
for ^in++++=for
all ^rb++++=all
three ^cd++++=three
nurse ^nn++++=nurse
categories ^nns++++=categories
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
warning ^nn++++=warning
not ^xnot++not++=not
to ^in++++=to
overinterpret ^nn+++??+=overinterpret
the ^ati++++=the
weak ^jj+atrb+++=weak
tendencies ^nns++++=tendencies
observed ^vbd+++xvbn+=observed
in ^in++++=in
Figure ^nn++++=Figure
3 ^zz++++=3
and ^cc++++=and
other ^ap++++=other
visualizations ^nns+++??+=visualizations
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
assume ^vb+vprv+++=assume
that ^tht+vcmp+++=that
individual ^jj+atrb+++=individual
accents ^nns++++=accents
are ^vb+ber+vrb++=are
characterized ^nn+++??+=characterized
by ^in++++=by
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
( ^zz++++=(partial)
partial ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
merger ^nn++++=merger,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
come ^vprf+++xvbn+=come
as ^ql++++=as
no ^at++++=no
surprise ^nn++++=surprise
if ^cs+cnd+++=if
averaging ^vbg+++xvbg+=averaging
across ^in+pl+++=across
such ^abl++++=such
patterns ^nns++++=patterns
for ^in++++=for
groups ^nns++++=groups
of ^in++++=of
speakers ^nns++++=speakers
produces ^vbz++++=produces
relatively ^rb++++=relatively
indiscriminate ^jj+atrb+++=indiscriminate
patterns ^nns++++=patterns.
. ^zz++++=EXTRAWORD
