In ^rb++++=In
sum ^rb"++++=sum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
attraction ^nn+nom+++=attraction
and ^cc++++=and
reliance ^nn+nom+++=reliance
highlights ^nns++++=highlights
usage ^nn++++=usage
patterns ^nns++++=patterns
shared ^vwbn+++xvbn+=shared
by ^in++++=by
the ^ati++++=the
three ^cd++++=three
amplifiers ^nns+nom+++=amplifiers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
draws ^vbz++++=draws
attention ^nn+nom+++=attention
to ^in++++=to
colligational ^jj+atrb+++=colligational
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
motivated ^vpsv++by+xvbnx+=motivated
by ^in++++=by
the ^ati++++=the
semantics ^nn++++=semantics
of ^in++++=of
the ^ati++++=the
intensifiers ^nns+nom+++=intensifiers
and ^cc++++=and
their ^pp$+pp3+++=their
functional ^jj+atrb+++=functional
associations ^nns+nom+++=associations
with ^in++++=with
particular ^jj+atrb+++=particular
textual ^jj+atrb+++=textual
functions ^nns+nom+++=functions.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
associations ^nns+nom+++=associations
are ^vb+ber+vrb++=are
often ^rb++++=often
rather ^rb++++=rather
intricate ^jj++++=intricate
and ^cc++++=and
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
discovered ^vpsv++agls+xvbnx+=discovered
through ^in++++=through
qualitative ^jj+atrb+++=qualitative
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stresses ^nns+nom+++=stresses
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
horizontal ^nn++++=horizontal
reading ^vwbg+++xvbg+=reading
( ^zz++++=(
R ^zz++++=R
hlemann ^nn+++??+=hlemann
& ^zz++++=&
Aijmer ^np+++??+=Aijmer
2015 ^cd++++=2015
: ^zz++++=:3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
discourse ^nn++++=discourse-pragmatic
- ^zz++++=EXTRAWORD
pragmatic ^jj+atrb+++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
corpus ^nn++++=corpus
data ^nns++++=data.
. ^zz++++=EXTRAWORD
