Sensitivity ^nn+nom+++=Sensitivity
of ^in++++=of
topic ^nn++++=topic
and ^cc++++=and
inaccessibility ^nn+nom+++=inaccessibility
go ^vb++++=go
together ^nn+nom+++=together
as ^in+strn+++=as,
, ^zz++++=EXTRAWORD
by ^in++++=by
their ^pp$+pp3+++=their
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
texts ^nns++++=texts
concerning ^in++++=concerning
sensitive ^jj+atrb+++=sensitive
subjects ^nns++++=subjects
and ^cc++++=and
giving ^jj+atrb++xvbg+=giving
information ^nn+nom+++=information
on ^in++++=on
specific ^jj+atrb+++=specific
individuals ^nns+nom+++=individuals
are ^vb+ber+vrb++=are
not ^xnot++not++=not
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
domain ^nn++++=domain.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
corpus ^nn++++=corpus
linguistic ^jj+atrb+++=linguistic
research ^nn++++=research
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
corpus ^nn++++=corpus-assisted
- ^zz++++=EXTRAWORD
assisted ^vprf+++xvbn+=EXTRAWORD
discourse ^nn++++=discourse
studies ^nns++++=studies
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
quest ^nn++++=quest
for ^rb++++=for
ever ^rb"++++=ever-larger
- ^zz++++=EXTRAWORD
larger ^jjr+atrb+++=EXTRAWORD
datasets ^nns+++??+=datasets
and ^cc++++=and
the ^ati++++=the
ease ^nn++++=ease
with ^in++++=with
which ^whp+rel+pied++=which
internet ^nn+++??+=internet-trawling
- ^zz++++=EXTRAWORD
trawling ^nn+nom+++=EXTRAWORD
can ^md+pos+++=can
provide ^vb+vsua+++=provide
bespoke ^nn+++??+=bespoke
corpora ^nn+++??+=corpora,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
accessible ^jj+atrb+++=accessible
texts ^nns++++=texts
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
little ^ap++++=little-studied
- ^zz++++=EXTRAWORD
studied ^vprf+++xvbn+=EXTRAWORD
( ^zz++++=(
Lischinsky ^np++++=Lischinsky
2018 ^cd++++=2018
; ^zz++++=;
Marchi ^np+++??+=Marchi
and ^cc++++=and
Taylor ^np++++=Taylor
2018 ^cd++++=2018
; ^zz++++=;
Taylor ^np++++=Taylor
and ^cc++++=and
