Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
previous ^jj+atrb+++=previous
research ^nn++++=research
presented ^vwbn+++xvbn+=presented
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
make ^vb++++=make
the ^ati++++=the
following ^jj+atrb++xvbg+=following
hypothesis ^nn++++=hypothesis
for ^in++++=for
ongoing ^nn+++??+=ongoing
constructionalization ^nn+++??+=constructionalization
and ^cc++++=and
for ^in++++=for
n ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
focalizers ^nns++++=focalizers
more ^rbr++++=more
generally ^rb+down+++=generally:
: ^zz++++=EXTRAWORD
