Crucially ^np+++??+=Crucially,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Talmy ^np+++??+=Talmy
( ^zz++++=(2000
2000 ^cd++++=EXTRAWORD
: ^zz++++=:II,
ii ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
46 ^cd++++=46)
) ^zz++++=EXTRAWORD
also ^rb++++=also
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
concomitance ^nn+nom+++=concomitance
relation ^nn+nom+++=relation
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
robustly ^jj++++=robustly
represented ^jj+++xvbn+=represented
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
explains ^vbz+vpub+++=explains
why ^wrb+who+whcl++=why
example ^nn++++=example
( ^zz++++=(12)
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
judged ^vpsv++agls+xvbnx+=judged
unacceptable ^jj++++=unacceptable
by ^in++++=by
most ^ql+emph+++=most
speakers ^nns+nom+++=speakers
of ^in++++=of
standard ^jj++++=standard
English ^jj++++=English,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Talmy ^np+++??+=Talmy
( ^zz++++=(2000)
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
acknowledges ^vbz++++=acknowledges.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
English ^jj++++=English
cannot ^md+pos+not++=cannot
conflate ^nn+nom+++=conflate
in ^in++++=in
an ^at++++=an
Intransitive ^np+++??+=Intransitive
Motion ^nn++++=Motion
construction ^nn+nom+++=construction
( ^zz++++=(
Goldberg ^np++++=Goldberg
1995 ^cd+date+++=1995
: ^zz++++=:3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
activities ^nns+nom+++=activities
such ^abl++++=such
as ^ql++++=as
whistling ^jj++++=whistling,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
( ^zz++++=(*
* ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
) ^zz++++=),
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
( ^zz++++=(*
