Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
studies ^nns++++=studies
of ^in++++=of
need ^nn++++=need
- ^zz++++=-passives
passives ^nns++++=EXTRAWORD
( ^zz++++=(specifically,
specifically ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
need ^nn++++=need
+ ^zz++++=+ED)
ed ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
followed ^vprf++tht0+xvbnx+=followed
the ^ati++++=the
logic ^nn++++=logic
cited ^vbd+++xvbn+=cited
above ^jjb++++=above
in ^in++++=in
Murray ^np++++=Murray,
, ^zz++++=EXTRAWORD
Frazer ^np++++=Frazer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Simon ^np++++=Simon
( ^zz++++=(1996
1996 ^cd+date+++=EXTRAWORD
: ^zz++++=:258)
258 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
data ^nns++++=data
by ^in++++=by
surveying ^xvbg+++xvbg+=surveying
consciously ^rb++++=consciously
elicited ^jj+atrb++xvbn+=elicited
judgments ^nns+nom+++=judgments
of ^in++++=of
grammatical ^jj+atrb+++=grammatical
acceptability ^nn+nom+++=acceptability.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
include ^vb++++=include
studies ^nns++++=studies
in ^in++++=in
sociolinguistics ^nns++++=sociolinguistics
and ^cc++++=and
dialectology ^nn+++??+=dialectology
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Labov ^np+++??+=Labov,
, ^zz++++=EXTRAWORD
Ash ^nn++++=Ash
& ^zz++++=&
Boberg ^np+++??+=Boberg
2006 ^cd++++=2006
: ^zz++++=:293-296;
293 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
296 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Murray ^np++++=Murray
& ^zz++++=&
Simon ^np++++=Simon
2006 ^cd++++=2006
: ^zz++++=:20;
20 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Bloomquist ^np+nom++??+=Bloomquist
2009 ^cd++++=2009
; ^zz++++=;
Maher ^np+++??+=Maher
and ^cc++++=and
Wood ^nn++++=Wood
2011 ^cd++++=2011
; ^zz++++=;
Hickey ^np++++=Hickey
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
micro ^nn+++??+=micro-syntax
- ^zz++++=EXTRAWORD
syntax ^nn++++=EXTRAWORD
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tenny ^np+++??+=Tenny
1998 ^cd+date+++=1998
; ^zz++++=;
Edelstein ^np+++??+=Edelstein
2014 ^cd++++=2014
though ^cs+sub+++=though
Edelstein ^np+++??+=Edelstein
validates ^nns+nom+++=validates
a ^at++++=a
number ^nn++++=number
of ^in++++=of
claims ^nns++++=claims
about ^in++++=about
aep ^np++++=AEP
constructions ^nns+nom+++=constructions
through ^in++++=through
web ^nn++++=web
searches ^nns++++=searches).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
