Overall ^jjb+atrb+++=Overall,
, ^zz++++=EXTRAWORD
negative ^jj+atrb+++=negative
tag ^nn++++=tag
variation ^nn++++=variation
displays ^nns++++=displays
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
some ^dti++++=some
grammaticalization ^nn+++??+=grammaticalization
mechanisms ^nns++++=mechanisms
in ^in++++=in
Glasgow ^np++++=Glasgow,
, ^zz++++=EXTRAWORD
Tyneside ^np++++=Tyneside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Salford ^np+++??+=Salford,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Tag ^nn++++=Tag
erosion ^nn++++=erosion
is ^vbz+bez+aux++=is
clearly ^rb++splt++=clearly
taking ^vbg+++xvbgx+=taking
place ^nn++++=place
in ^in++++=in
all ^rb++++=all
three ^cd++++=three
varieties ^nns++++=varieties
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
little ^ap++++=little
to ^in++++=to
no ^ati++neg++=no
evidence ^nn++++=evidence
of ^in++++=of
decategorialization ^nn+++??+=decategorialization.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
potential ^jj+atrb+++=potential
desemanticization ^nn+++??+=desemanticization
and ^cc++++=and
extension ^nn++++=extension,
, ^zz++++=EXTRAWORD
negative ^jj+atrb+++=negative
tags ^nns++++=tags
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
functions ^nns++++=functions
not ^xnot++not++=not
just ^rb+emph+++=just
the ^ati++++=the
information ^nn++++=information-seeking
- ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=EXTRAWORD
function ^nn++++=function
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
posited ^nn+++??+=posited
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
original ^nn++++=original
meaning ^vwbg+++xvbg+=meaning
of ^in++++=of
tags ^nns++++=tags
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Tottie ^np+++??+=Tottie
& ^zz++++=&
Hoffmann ^np+++??+=Hoffmann
2009 ^cd++++=2009
: ^zz++++=:154),
154 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
other ^ap++++=other,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-conducive
- ^zz++++=EXTRAWORD
conducive ^jj+atrb+++=EXTRAWORD
functions ^nns++++=functions.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
some ^dti++++=some
semantic ^jj+atrb+++=semantic
bleaching ^nn++++=bleaching
of ^in++++=of
tags ^nns++++=tags
over ^in++++=over
time ^nn++++=time
( ^zz++++=(see
