Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
instances ^nns+nom+++=instances
with ^in++++=with
non ^&fw++++=non-finite
- ^zz++++=EXTRAWORD
finite ^jj+atrb+++=EXTRAWORD
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
( ^zz++++=(14),
14 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
phrases ^nns++++=phrases,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
( ^zz++++=(15),
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
N ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=EXTRAWORD
were ^vbd+bed+aux++=were
also ^rb++splt++=also
excluded ^vpsv++agls+xvbnx+=excluded,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
complements ^nns+nom+++=complements
of ^in++++=of
the ^ati++++=the
verb ^nn++++=verb
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
