Rq2 ^np+++??+=RQ2:
: ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
adopted ^jj+atrb++xvbn+=adopted
solution ^nn+nom+++=solution
of ^in++++=of
creating ^xvbg+++xvbg+=creating
a ^at++++=a
separate ^jj+atrb+++=separate
corpus ^nn++++=corpus
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
do ^vb+do+aux++=do
the ^ati++++=the
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
versions ^nns++++=versions
of ^in++++=of
the ^ati++++=the
wisp ^nn++++=WiSP
corpus ^nn++++=corpus
affect ^vb++++=affect
findings ^nns++++=findings?
? ^zz++++=EXTRAWORD
