Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worth ^in++++=worth
noting ^vb+vprv+tht0+xvbg+=noting
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
much ^ap++++=much
research ^nn++++=research
in ^in++++=in
Korea ^np++++=Korea
has ^vbz+hvz+aux++=has
focussed ^vprf+++xvbnx+=focussed
on ^in++++=on
lexis ^nns+++??+=lexis
and ^cc++++=and
grammar ^nn++++=grammar,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
picture ^nn++++=picture
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
very ^ql+amp+++=very
different ^jj++++=different
from ^in++++=from
global ^jj+atrb+++=global
research ^nn++++=research
trends ^nns++++=trends.
. ^zz++++=EXTRAWORD
Mcenery ^np+++??+=McEnery
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
( ^zz++++=(2019:
2019 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
84 ^cd++++=84)
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
1,144 ^cd++++=1,144
publications ^nns++++=publications
in ^in++++=in
the ^ati++++=the
bibliography ^nn++++=bibliography
of ^in++++=of
learner ^nn++++=learner
corpus ^nn++++=corpus
research ^nn++++=research.
. ^zz++++=EXTRAWORD
12 ^cd++++=12
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
that ^cs+sub+++=that
148 ^cd++++=148
( ^zz++++=(12.9
12.9 ^cd++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
questions ^nns++++=questions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
broadly ^rb+down+splt++=broadly
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
lexis ^nns+++??+=lexis/lexicography
and ^cc++++=and
that ^cs+sub+++=that
eighty ^cd++++=eighty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
( ^zz++++=(7.4
7.4 ^cd++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
papers ^nns++++=papers
focus ^nn++++=focus
on ^in++++=on
features ^nns++++=features
of ^in++++=of
grammar ^nn++++=grammar.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb++++=mere
111 ^cd++++=111
( ^zz++++=(9.7
9.7 ^cd++++=EXTRAWORD
percent ^nnu++++=percent)
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
speech ^nn++++=speech
and ^cc++++=and
only ^rb+down+++=only
sixteen ^cd++++=sixteen
( ^zz++++=(principally)
principally ^rb+down+++=EXTRAWORD
) ^zz++++=EXTRAWORD
focus ^nn++++=focus
on ^in++++=on
pragmatics ^nns++++=pragmatics.
. ^zz++++=EXTRAWORD
