Rq1 ^np+++??+=RQ1
What ^wdt+who+++=What
are ^vb+ber+vrb++=are
the ^ati++++=the
challenges ^nn++++=challenges
in ^in++++=in
data ^nns++++=data
preparation ^nn+nom+++=preparation
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving
hard ^jj++++=hard-to-access,
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
access ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sensitive ^jj+atrb+++=sensitive
textual ^jj+atrb+++=textual
data ^nns++++=data,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
around ^in++++=around
anonymisation ^nn+nom+++=anonymisation
coding ^nn++++=coding?
? ^zz++++=EXTRAWORD
