Aimless ^np+++??+=Aimless,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-oriented
- ^zz++++=EXTRAWORD
oriented ^jj+atrb++xvbn+=EXTRAWORD
motion ^nn++++=motion
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
colored ^vpsv++agls+xvbnx+=colored
with ^in++++=with
negative ^jj+atrb+++=negative
overtones ^nns++++=overtones.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
quite ^rb++++=quite
consistently ^rb+cnj+++=consistently,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
progressive ^jj+atrb+++=progressive
periphrasis ^nns+++??+=periphrasis
formed ^vbd+++xvbn+=formed
with ^in++++=with
andar ^nn+++??+=andar
to ^to++++=to
go ^vbi++++=go
around ^rp++++=around
and ^cc++++=and
a ^at++++=a
gerund ^nn++++=gerund,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
andar ^nn+++??+=andar
golfeando ^nn+++??+=golfeando
to ^to++++=to
go ^vbi++++=go
hanging ^vbg+++xvbg+=hanging
around ^rp++++=around.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
evident ^jj+pred+++=evident
in ^in++++=in
many ^ap++++=many
attested ^jj+atrb+++=attested
examples ^nns++++=examples
of ^in++++=of
the ^ati++++=the
go ^vb++++=go
V ^zz++++=V
ing ^jj+++xvbg+=ing
Obl ^np+++??+=OBL
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
Emode ^np+++??+=EModE
and ^cc++++=and
at ^in++++=at
later ^rbr+tm+++=later
stages ^nns++++=stages.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
( ^zz++++=(33)-(35)
33) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
35 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
illustrate ^nn+nom+++=illustrate
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
as ^ql++++=as
do ^vb+do+vrb++=do
( ^zz++++=(39)-(42).
39) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
42 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Note ^vb++++=Note
that ^tht+vcmp+obj++=that
the ^ati++++=the
negative ^jj+atrb+++=negative
semantic ^jj+atrb+++=semantic
prosody ^nn++++=prosody
( ^zz++++=(
Sinclair ^np++++=Sinclair
2004 ^cd++++=2004
: ^zz++++=:33-35)
33 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
35 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
often ^rb++++=often
characterizes ^vbz++++=characterizes
the ^ati++++=the
go ^vb++++=go
Vingobl ^np+++??+=VingOBL
pattern ^nn++++=pattern
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
sufficiently ^rb++++=sufficiently
conventionalized ^jj+++xvbn+=conventionalized
as ^in++++=as
to ^in"++++=to
apply ^vb++++=apply
irrespective ^in++++=irrespective
of ^in"++++=of
whether ^cs+who+++=whether
the ^ati++++=the
oblique ^jj+atrb+++=oblique
complement ^nn+nom+++=complement
codes ^nns++++=codes
an ^at++++=an
extended ^jj+atrb++xvbn+=extended
trajectory ^nn++++=trajectory
( ^zz++++=(39
39 ^cd++++=EXTRAWORD
and ^cc++++=and
40 ^cd++++=40)
) ^zz++++=EXTRAWORD
or ^cc++++=or
a ^at++++=a
goal ^nn++++=goal
( ^zz++++=(41
41 ^cd++++=EXTRAWORD
and ^cc++++=and
42 ^cd++++=42).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
worthy ^jj++++=worthy
of ^in++++=of
note ^nn++++=note
is ^vbz+bez+vrb++=is
the ^ati++++=the
co ^nn++++=co-occurrence
- ^zz++++=EXTRAWORD
occurrence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(40)
40 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
construction ^nn+nom+++=construction
with ^in++++=with
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
modal ^jj+atrb+++=modal
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
be ^vb+be+vrb++=be
progressive ^jj+pred+++=progressive,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
an ^at++++=an
expressive ^jj+atrb+++=expressive
device ^nn++++=device
to ^to++++=to
convey ^vbi++++=convey
negative ^jj+atrb+++=negative
speaker ^nn++++=speaker
attitude ^nn++++=attitude
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
kranich ^np++++=Kranich
2010 ^cd++++=2010
: ^zz++++=:
202 ^cd++++=202,
, ^zz++++=EXTRAWORD
222 ^cd++++=222).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
