Lastly ^rb+cnj+++=Lastly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
parameter ^nn++++=parameter
of ^in++++=of
bondedness ^nns+++??+=bondedness
or ^cc++++=or
adjacency ^nn+++??+=adjacency
( ^zz++++=(
Lehmann ^np++++=Lehmann
1995 ^cd+date+++=1995
: ^zz++++=:147-157)
147 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
157 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
relates ^vbz++++=relates
to ^in++++=to
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
syntagmatic ^jj+atrb+++=syntagmatic
cohesion ^nn++++=cohesion
with ^in++++=with
which ^whp+rel+pied++=which
[ ^zz++++=[a
a ^at++++=EXTRAWORD
sign ^nn++++=sign]
] ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
another ^dt++++=another
sign ^vb++++=sign
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
bears ^vbz++++=bears
a ^at++++=a
syntagmatic ^jj+atrb+++=syntagmatic
relation ^nn++++=relation
( ^zz++++=(
Lehmann ^np++++=Lehmann
1995 ^cd+date+++=1995
: ^zz++++=:147).
147 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
its ^pp$+it+++=its
most ^ql+emph+++=most
extreme ^nn++++=extreme
form ^nn++++=form,
, ^zz++++=EXTRAWORD
bondedness ^nns+++??+=bondedness
leads ^vbz++++=leads
to ^in++++=to
univerbation ^nn+++??+=univerbation
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
German ^jj+atrb+++=German
keines ^nns+++??+=keines
Wegs ^np+++??+=Wegs
of ^in++++=of
no ^at++++=no
way ^nn++++=way
> ^zz++++=>
keineswegs ^nns+++??+=keineswegs
by ^in++++=by
no ^at++++=no
means ^nns++++=means
) ^zz++++=).
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
constructional ^jj+atrb+++=constructional
level ^nn++++=level,
, ^zz++++=EXTRAWORD
bondedness ^nns+++??+=bondedness
has ^vbz+hvz+aux++=has
often ^rb++splt++=often
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
grammaticalization ^nn+++??+=grammaticalization
and ^cc++++=and
constructionalization ^nn+++??+=constructionalization
of ^in++++=of
verbal ^jj+atrb+++=verbal
periphrases ^nns+++??+=periphrases
of ^in++++=of
various ^jj+atrb+++=various
kinds ^nns++++=kinds,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
progressive ^jj+atrb+++=progressive
periphrases ^nns+++??+=periphrases
of ^in++++=of
Spanish ^jj++++=Spanish
( ^zz++++=(
Bybee ^np++++=Bybee
& ^zz++++=&
Torres ^np+++??+=Torres
Cacoullos ^np+++??+=Cacoullos
2009 ^cd++++=2009
: ^zz++++=:201-204)
201 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
204 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
pseudocoordination ^nn+++??+=pseudocoordination
in ^in++++=in
Norwegian ^jj++++=Norwegian
( ^zz++++=(V1
v1 ^nn+++??+=EXTRAWORD
og ^nn+++??+=og
V2 ^np+++??+=V2)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Kinn ^np++++=Kinn
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Grammaticalization ^np+++??+=Grammaticalization
correlates ^nns+++??+=correlates
with ^in++++=with
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
intervening ^xvbg+++xvbg+=intervening
material ^nn++++=material
between ^in++++=between
V1 ^np+++??+=V1
and ^cc++++=and
V2 ^np+++??+=V2,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
strengthens ^vbz++++=strengthens
auxiliation ^nn+++??+=auxiliation
and ^cc++++=and
a ^at++++=a
single ^jj++++=single-event
- ^zz++++=EXTRAWORD
event ^nn++++=EXTRAWORD
reading ^nn++++=reading
of ^in++++=of
the ^ati++++=the
construction ^nn++++=construction
in ^in++++=in
question ^nn++++=question.
. ^zz++++=EXTRAWORD
