Our ^pp$+pp1+++=Our
results ^nns++++=results
of ^in++++=of
Shuttle ^nn++++=Shuttle
test ^nn++++=test
were ^vbd+bed+vrb++=were
comparable ^jj+pred+++=comparable
to ^in++++=to
findings ^nns++++=findings
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
Kolimechkov ^np+++??+=Kolimechkov
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
participants ^nns++++=participants'
' ^zz++++=EXTRAWORD
data ^nns++++=data
were ^vbd+bed+vrb++=were
slightly ^rb+down+++=slightly
worse ^jjr+pred+++=worse
on ^in++++=on
anthropometric ^nn+++??+=anthropometric
indexes ^nns+++??+=indexes
( ^zz++++=(Santomauro
santomauro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Who ^whp+who+++=WHO,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
high ^jj+atrb+++=high
percentage ^nn++++=percentage
of ^in++++=of
children ^nns++++=children
over ^in++++=over
the ^ati++++=the
limits ^nns++++=limits
of ^in++++=of
overweight ^nn++++=overweight
and ^cc++++=and
health ^nn++++=health
hazard ^nn++++=hazard
may ^md+pos+++=may
highlight ^vb++++=highlight
an ^at++++=an
alarming ^jj+atrb++xvbg+=alarming
situation ^nn++++=situation
for ^in++++=for
public ^jj+atrb+++=public
health ^nn++++=health,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
better ^jjr+atrb+++=better
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
even ^rb++++=even
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
participants ^nns++++=participants
performed ^vwbn+++xvbn+=performed
quite ^rb++++=quite
well ^rb++++=well
on ^rp++++=on
the ^ati++++=the
Shuttle ^nn++++=Shuttle
test ^nn++++=test,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
nevertheless ^rb+cnj+++=nevertheless
have ^vb+hv+vrb++=have
a ^at++++=a
poor ^jj+atrb+++=poor
anthropometric ^nn+++??+=anthropometric
status ^nn++++=status.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moderate ^jj+atrb+++=moderate
positive ^jj+atrb+++=positive
weights ^nns++++=weights
revealed ^vwbn+vprv++xvbn+=revealed
by ^in++++=by
network ^nn++++=network
analysis ^nn++++=analysis
of ^in++++=of
Shuttle ^nn++++=Shuttle
with ^in++++=with
both ^abx++++=both
Bmi ^np+++??+=BMI
and ^cc++++=and
Wthr ^np+++??+=WtHR
nevertheless ^rb+cnj+++=nevertheless
support ^vb++++=support
the ^ati++++=the
call ^nn++++=call
for ^in++++=for
policy ^nn++++=policy
approaches ^nns++++=approaches
to ^to++++=to
improve ^vbi++++=improve
anthropometric ^nn+++??+=anthropometric
status ^nn++++=status
as ^in++++=as
a ^at++++=a
modifiable ^nn+++??+=modifiable
factor ^nn++++=factor
to ^to++++=to
enhance ^vbi++++=enhance
physical ^jj+atrb+++=physical
fitness ^nn++++=fitness
( ^zz++++=(Zaqout
zaqout ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
