Thanks ^rb+dspt+++=Thanks
to ^in"++++=to
the ^ati++++=the
collaborating ^jj+atrb+++=collaborating
Moset ^np+++??+=Moset
n ^zz++++=n
and ^cc++++=and
Intercultural ^np+nom++??+=Intercultural
communities ^nns+nom+++=communities
for ^in++++=for
their ^pp$+pp3+++=their
friendship ^nn+nom+++=friendship
and ^cc++++=and,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
collaboration ^nn+nom+++=collaboration;
; ^zz++++=EXTRAWORD
Jacinta ^np+++??+=Jacinta
lvarez ^nn+++??+=lvarez
and ^cc++++=and
Amira ^np+++??+=Amira
Siquimen ^np+++??+=Siquimen
for ^in++++=for
their ^pp$+pp3+++=their
help ^nn++++=help
with ^in++++=with
interview ^nn++++=interview
design ^nn++++=design
and ^cc++++=and
demographic ^jj+atrb+++=demographic
data ^nns++++=data
collection ^nn+nom+++=collection;
; ^zz++++=EXTRAWORD
Abigail ^np+++??+=Abigail
Page ^nn++++=Page
and ^cc++++=and
an ^at++++=an
anonymous ^jj+atrb+++=anonymous
reviewer ^nn+nom+++=reviewer
for ^in++++=for
feedback ^nn+++??+=feedback
on ^in++++=on
a ^at++++=a
previous ^jj+atrb+++=previous
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
manuscript ^nn++++=manuscript;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
University ^nn+nom+++=University
of ^in++++=of
California ^np++++=California,
, ^zz++++=EXTRAWORD
Davis ^np++++=Davis
Evolutionary ^jj+atrb+++=Evolutionary
Anthropology ^np+++??+=Anthropology
journal ^nn++++=journal
club ^nn++++=club
for ^in++++=for
helpful ^jj+atrb+++=helpful
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
funded ^vpsv++by+xvbnx+=funded
by ^in++++=by
the ^ati++++=the
Max ^np++++=Max
Planck ^np+++??+=Planck
Institute ^nn++++=Institute
for ^in++++=for
Evolutionary ^jj+atrb+++=Evolutionary
Anthropology ^np+++??+=Anthropology
Department ^nn+nom+++=Department
of ^in++++=of
Human ^jj+atrb+++=Human
Behavior ^nn++++=Behavior,
, ^zz++++=EXTRAWORD
Ecology ^np+++??+=Ecology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Culture ^nn++++=Culture.
. ^zz++++=EXTRAWORD
Open ^jj+atrb+++=Open
Access ^nn++++=access
Funding ^vbg+++xvbg+=funding
Enabled ^vprf+++xvbn+=enabled
And ^cc++++=and
Organized ^jj++++=organized
By ^in++++=by
Projekt ^np++++=Projekt
Deal ^nn++++=DEAL.
 ^zz++++=EXTRAWORD
