Twenty ^cd++++=Twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
Maya ^np+++??+=Maya
girls ^nns++++=girls
aged ^jj++++=aged
7 ^zz++++=7
to ^to++++=to
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
with ^in++++=with
their ^pp$+pp3+++=their
biological ^jj+atrb+++=biological
mothers ^nns++++=mothers
and ^cc++++=and
attending ^vbg+++xvbg+=attending
state ^nn++++=state
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
participated ^j+++xvbn+=participated
( ^zz++++=(February-August
february ^nr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
august ^nr++++=EXTRAWORD
2010 ^cd++++=2010)
) ^zz++++=EXTRAWORD
as ^in++++=as
part ^nn++++=part
of ^in++++=of
a ^at++++=a
larger ^jjr+atrb+++=larger
study ^nn++++=study
on ^in++++=on
the ^ati++++=the
dual ^jj+atrb+++=dual
burden ^nn++++=burden
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
58 ^cd++++=58)
) ^zz++++=EXTRAWORD
( ^zz++++=(Wilson,
wilson ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
